"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
105.922 4.240 0.032 1.843 0.000 41.893 40.369
106.931 4.203 0.032 1.843 0.000 41.878 40.355
107.940 4.166 0.031 1.843 0.000 41.863 40.341
108.949 4.130 0.031 1.843 0.000 41.848 40.327
109.958 4.094 0.031 1.843 0.000 41.832 40.313
110.967 4.059 0.031 1.843 0.000 41.818 40.299
111.975 4.025 0.031 1.843 0.000 41.803 40.285
112.984 3.991 0.030 1.843 0.000 41.788 40.271
113.993 3.958 0.030 1.843 0.000 41.774 40.258
115.002 3.925 0.030 1.843 0.000 41.759 40.244
116.011 3.893 0.030 1.843 0.000 41.745 40.231
