"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
107.728 2.500 0.000 4.325 0.079 41.717 40.281
108.735 2.500 0.000 4.268 0.080 41.705 40.277
109.743 2.500 0.000 4.212 0.080 41.694 40.273
110.751 2.500 0.000 4.157 0.080 41.682 40.268
111.759 2.500 0.000 4.103 0.080 41.671 40.264
112.766 2.500 0.000 4.049 0.081 41.659 40.260
113.774 2.500 0.000 3.996 0.081 41.648 40.255
114.782 2.500 0.000 3.943 0.081 41.636 40.251
115.789 2.500 0.000 3.891 0.081 41.625 40.246
116.797 2.500 0.000 3.840 0.082 41.613 40.242
117.805 2.500 0.000 3.790 0.082 41.602 40.237
118.813 2.500 0.000 3.740 0.082 41.590 40.232
119.820 2.500 0.000 3.691 0.082 41.579 40.228
120.828 2.500 0.000 3.643 0.082 41.567 40.223
121.836 2.500 0.000 3.595 0.083 41.556 40.218
122.843 2.500 0.000 3.548 0.083 41.544 40.213
123.851 2.500 0.000 3.501 0.083 41.533 40.208
124.859 2.500 0.000 3.455 0.083 41.522 40.203
125.866 2.500 0.000 3.410 0.083 41.510 40.198
126.874 2.500 0.000 3.365 0.083 41.499 40.193
127.882 2.500 0.000 3.321 0.083 41.487 40.188
128.890 2.500 0.000 3.277 0.084 41.476 40.183
129.897 2.500 0.000 3.234 0.084 41.464 40.178
130.905 2.500 0.000 3.192 0.084 41.453 40.173
131.913 2.500 0.000 3.150 0.084 41.441 40.167
132.920 2.500 0.000 3.109 0.084 41.430 40.162
133.928 2.500 0.000 3.068 0.084 41.418 40.157
134.936 2.500 0.000 3.028 0.084 41.407 40.151
135.944 2.500 0.000 2.988 0.084 41.395 40.146
136.951 2.500 0.000 2.949 0.084 41.384 40.140
137.959 2.500 0.000 2.910 0.084 41.372 40.134
