"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
91.798 2.500 0.000 5.839 0.042 41.977 40.137
92.806 2.500 0.000 5.723 0.042 41.960 40.124
93.815 2.500 0.000 5.159 0.055 41.870 40.197
94.824 2.500 0.000 5.061 0.054 41.853 40.186
95.833 2.500 0.000 4.966 0.054 41.837 40.175
96.842 2.500 0.000 4.872 0.054 41.820 40.164
97.851 2.500 0.000 4.780 0.053 41.804 40.153
98.860 2.500 0.000 4.690 0.053 41.787 40.142
99.869 2.500 0.000 4.602 0.053 41.770 40.130
100.878 2.500 0.000 4.516 0.052 41.754 40.119
101.887 2.500 0.000 4.431 0.052 41.738 40.108
102.895 2.500 0.000 4.347 0.052 41.721 40.097
103.904 2.500 0.000 4.266 0.051 41.705 40.085
104.913 2.500 0.000 4.186 0.051 41.688 40.074
105.922 2.500 0.000 4.107 0.051 41.672 40.063
106.931 2.500 0.000 4.675 0.070 41.784 40.262
107.940 2.500 0.000 4.583 0.070 41.767 40.250
108.949 2.500 0.000 4.493 0.069 41.750 40.238
109.958 2.500 0.000 4.405 0.069 41.732 40.226
110.967 2.500 0.000 4.318 0.068 41.715 40.214
111.975 2.500 0.000 4.233 0.068 41.698 40.202
112.984 2.500 0.000 4.150 0.067 41.681 40.190
113.993 2.500 0.000 4.069 0.067 41.664 40.178
115.002 2.500 0.000 3.989 0.066 41.646 40.166
116.011 2.500 0.000 3.911 0.065 41.629 40.154
