# ph	T_bb	err	R_bb	err	L_bb	err

59113.49	1.01e+04	9.77e+02	5.14e+14	6.25e+13	1.98e+42	9.04e+41
59113.50	1.01e+04	9.77e+02	5.13e+14	6.24e+13	1.98e+42	9.02e+41
59113.51	1.01e+04	9.77e+02	4.96e+14	6.03e+13	1.84e+42	8.41e+41
59114.35	1.01e+04	9.77e+02	4.46e+14	5.43e+13	1.50e+42	6.82e+41
59114.46	1.01e+04	9.77e+02	6.43e+14	7.82e+13	3.11e+42	1.42e+42
59114.53	1.01e+04	9.77e+02	5.32e+14	6.47e+13	2.12e+42	9.69e+41
59114.53	1.01e+04	9.77e+02	5.04e+14	6.13e+13	1.91e+42	8.71e+41
59114.54	1.01e+04	9.77e+02	5.48e+14	6.67e+13	2.26e+42	1.03e+42
59114.55	1.01e+04	9.77e+02	5.24e+14	6.37e+13	2.06e+42	9.40e+41
59114.57	1.01e+04	9.77e+02	6.37e+14	7.75e+13	3.05e+42	1.39e+42
59114.57	1.01e+04	9.77e+02	4.71e+14	5.73e+13	1.67e+42	7.61e+41
59116.43	1.01e+04	9.77e+02	6.34e+14	7.72e+13	3.02e+42	1.38e+42
59117.38	1.01e+04	9.77e+02	6.42e+14	7.80e+13	3.09e+42	1.41e+42
59118.48	1.01e+04	9.77e+02	4.22e+14	5.14e+13	1.34e+42	6.11e+41
59118.56	1.01e+04	9.77e+02	6.36e+14	7.73e+13	3.03e+42	1.38e+42
59118.56	1.01e+04	9.77e+02	6.28e+14	7.64e+13	2.96e+42	1.35e+42
59120.36	1.01e+04	9.77e+02	4.10e+14	4.98e+13	1.26e+42	5.75e+41
59120.44	1.01e+04	9.77e+02	4.18e+14	5.09e+13	1.31e+42	5.99e+41
59120.50	1.01e+04	9.77e+02	6.25e+14	7.61e+13	2.94e+42	1.34e+42
59120.51	1.01e+04	9.77e+02	6.22e+14	7.56e+13	2.91e+42	1.33e+42
59120.51	1.01e+04	9.77e+02	6.44e+14	7.83e+13	3.12e+42	1.42e+42
59120.51	1.01e+04	9.77e+02	5.91e+14	7.18e+13	2.62e+42	1.19e+42
59121.36	1.01e+04	9.77e+02	4.23e+14	5.15e+13	1.35e+42	6.14e+41
59121.37	1.01e+04	9.77e+02	6.10e+14	7.42e+13	2.80e+42	1.28e+42
59121.39	1.01e+04	9.77e+02	6.69e+14	8.14e+13	3.36e+42	1.53e+42
59121.40	1.01e+04	9.77e+02	5.97e+14	7.26e+13	2.68e+42	1.22e+42
59121.40	1.01e+04	9.77e+02	5.98e+14	7.27e+13	2.68e+42	1.22e+42
59122.36	1.01e+04	9.77e+02	3.91e+14	4.76e+13	1.15e+42	5.24e+41
59123.36	1.01e+04	9.77e+02	6.32e+14	7.69e+13	3.00e+42	1.37e+42
59123.40	1.01e+04	9.77e+02	4.14e+14	5.03e+13	1.29e+42	5.87e+41
59123.44	1.01e+04	9.77e+02	6.45e+14	7.84e+13	3.12e+42	1.42e+42
59123.45	1.01e+04	9.77e+02	6.35e+14	7.72e+13	3.03e+42	1.38e+42
59123.45	1.01e+04	9.77e+02	5.55e+14	6.75e+13	2.31e+42	1.05e+42
59123.46	1.01e+04	9.77e+02	6.27e+14	7.62e+13	2.95e+42	1.34e+42
59124.35	1.01e+04	9.77e+02	6.20e+14	7.54e+13	2.88e+42	1.32e+42
59125.40	1.01e+04	9.77e+02	4.19e+14	5.09e+13	1.32e+42	6.01e+41
59125.46	1.01e+04	9.77e+02	6.27e+14	7.63e+13	2.95e+42	1.35e+42
59128.41	1.01e+04	9.77e+02	5.94e+14	7.22e+13	2.65e+42	1.21e+42
59128.55	1.01e+04	9.77e+02	5.60e+14	6.81e+13	2.35e+42	1.07e+42
59128.56	1.01e+04	9.77e+02	5.49e+14	6.67e+13	2.26e+42	1.03e+42
59128.56	1.01e+04	9.77e+02	1.73e+14	2.10e+13	2.25e+41	1.02e+41
59128.57	1.01e+04	9.77e+02	5.70e+14	6.93e+13	2.44e+42	1.11e+42
59128.60	1.01e+04	9.77e+02	6.34e+14	7.71e+13	3.02e+42	1.38e+42
