##phase	g	err	w	err	r	err	i	err	z	err	
#
59114.35	18.27	0.30	18.27	0.30	18.27	0.30	18.27	0.30	18.27	0.30
59114.46	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30
59114.53	17.89	0.30	17.89	0.30	17.89	0.30	17.89	0.30	17.89	0.30
59114.53	18.00	0.30	18.00	0.30	18.00	0.30	18.00	0.30	18.00	0.30
59114.54	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30
59114.55	17.92	0.30	17.92	0.30	17.92	0.30	17.92	0.30	17.92	0.30
59114.57	17.49	0.30	17.49	0.30	17.49	0.30	17.49	0.30	17.49	0.30
59114.57	18.15	0.30	18.15	0.30	18.15	0.30	18.15	0.30	18.15	0.30
59116.43	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30
59117.38	17.48	0.30	17.48	0.30	17.48	0.30	17.48	0.30	17.48	0.30
59118.48	18.39	0.30	18.39	0.30	18.39	0.30	18.39	0.30	18.39	0.30
59118.56	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30
59118.56	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30
59120.36	18.45	0.30	18.45	0.30	18.45	0.30	18.45	0.30	18.45	0.30
59120.44	18.41	0.30	18.41	0.30	18.41	0.30	18.41	0.30	18.41	0.30
59120.50	17.54	0.30	17.54	0.30	17.54	0.30	17.54	0.30	17.54	0.30
59120.51	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30
59120.51	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30
59120.51	17.66	0.30	17.66	0.30	17.66	0.30	17.66	0.30	17.66	0.30
59121.36	18.38	0.30	18.38	0.30	18.38	0.30	18.38	0.30	18.38	0.30
59121.37	17.59	0.30	17.59	0.30	17.59	0.30	17.59	0.30	17.59	0.30
59121.39	17.39	0.30	17.39	0.30	17.39	0.30	17.39	0.30	17.39	0.30
59121.40	17.64	0.30	17.64	0.30	17.64	0.30	17.64	0.30	17.64	0.30
59121.40	17.63	0.30	17.63	0.30	17.63	0.30	17.63	0.30	17.63	0.30
59122.36	18.55	0.30	18.55	0.30	18.55	0.30	18.55	0.30	18.55	0.30
59123.36	17.51	0.30	17.51	0.30	17.51	0.30	17.51	0.30	17.51	0.30
59123.40	18.43	0.30	18.43	0.30	18.43	0.30	18.43	0.30	18.43	0.30
59123.44	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30	17.47	0.30
59123.45	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30
59123.45	17.80	0.30	17.80	0.30	17.80	0.30	17.80	0.30	17.80	0.30
59123.46	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30
59124.35	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30
59125.40	18.41	0.30	18.41	0.30	18.41	0.30	18.41	0.30	18.41	0.30
59125.46	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30
59128.41	17.65	0.30	17.65	0.30	17.65	0.30	17.65	0.30	17.65	0.30
59128.55	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30
59128.56	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30
59128.56	20.33	0.30	20.33	0.30	20.33	0.30	20.33	0.30	20.33	0.30
59128.57	17.74	0.30	17.74	0.30	17.74	0.30	17.74	0.30	17.74	0.30
59128.60	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30	17.50	0.30
59130.40	18.54	0.30	18.54	0.30	18.54	0.30	18.54	0.30	18.54	0.30
59130.43	17.64	0.30	17.64	0.30	17.64	0.30	17.64	0.30	17.64	0.30
59130.49	17.59	0.30	17.59	0.30	17.59	0.30	17.59	0.30	17.59	0.30
59130.49	17.58	0.30	17.58	0.30	17.58	0.30	17.58	0.30	17.58	0.30
59130.59	17.74	0.30	17.74	0.30	17.74	0.30	17.74	0.30	17.74	0.30
59130.59	17.57	0.30	17.57	0.30	17.57	0.30	17.57	0.30	17.57	0.30
59130.60	17.58	0.30	17.58	0.30	17.58	0.30	17.58	0.30	17.58	0.30
59130.60	17.60	0.30	17.60	0.30	17.60	0.30	17.60	0.30	17.60	0.30
59130.61	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30
59130.62	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30
59130.62	17.58	0.30	17.58	0.30	17.58	0.30	17.58	0.30	17.58	0.30
59130.63	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30
59132.47	17.54	0.30	17.54	0.30	17.54	0.30	17.54	0.30	17.54	0.30
59132.47	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30
59132.48	17.84	0.30	17.84	0.30	17.84	0.30	17.84	0.30	17.84	0.30
59132.49	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30
59132.50	18.26	0.30	18.26	0.30	18.26	0.30	18.26	0.30	18.26	0.30
59132.50	18.05	0.30	18.05	0.30	18.05	0.30	18.05	0.30	18.05	0.30
59132.55	17.64	0.30	17.64	0.30	17.64	0.30	17.64	0.30	17.64	0.30
59132.56	18.52	0.30	18.52	0.30	18.52	0.30	18.52	0.30	18.52	0.30
59133.47	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30	17.53	0.30
59133.47	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30	17.55	0.30
59133.48	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30
59133.49	17.52	0.30	17.52	0.30	17.52	0.30	17.52	0.30	17.52	0.30
59134.44	17.68	0.30	17.68	0.30	17.68	0.30	17.68	0.30	17.68	0.30
59134.58	17.88	0.30	17.88	0.30	17.88	0.30	17.88	0.30	17.88	0.30
59134.59	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30	17.56	0.30
59134.59	17.27	0.30	17.27	0.30	17.27	0.30	17.27	0.30	17.27	0.30
59134.61	17.09	0.30	17.09	0.30	17.09	0.30	17.09	0.30	17.09	0.30
59136.41	18.65	0.30	18.65	0.30	18.65	0.30	18.65	0.30	18.65	0.30
59136.47	17.69	0.30	17.69	0.30	17.69	0.30	17.69	0.30	17.69	0.30
