# ph	T_bb	err	R_bb	err	L_bb	err

58982.46	7.95e+03	6.15e+02	1.43e+15	2.01e+14	5.79e+42	2.42e+42
58984.29	7.95e+03	6.15e+02	1.35e+15	1.90e+14	5.20e+42	2.18e+42
58984.29	7.95e+03	6.15e+02	1.33e+15	1.87e+14	5.02e+42	2.10e+42
58985.22	7.95e+03	6.15e+02	2.01e+15	2.82e+14	1.15e+43	4.79e+42
58985.22	7.95e+03	6.15e+02	2.24e+15	3.15e+14	1.43e+43	5.97e+42
58985.22	7.95e+03	6.15e+02	2.24e+15	3.15e+14	1.43e+43	5.97e+42
58985.22	7.95e+03	6.15e+02	1.95e+15	2.74e+14	1.08e+43	4.51e+42
58985.22	7.95e+03	6.15e+02	2.86e+15	4.02e+14	2.33e+43	9.73e+42
58985.22	7.95e+03	6.15e+02	1.92e+15	2.70e+14	1.05e+43	4.40e+42
58985.30	7.95e+03	6.15e+02	1.39e+15	1.96e+14	5.53e+42	2.31e+42
58986.42	7.95e+03	6.15e+02	1.84e+15	2.58e+14	9.61e+42	4.02e+42
58986.42	7.95e+03	6.15e+02	2.62e+15	3.68e+14	1.95e+43	8.16e+42
58986.42	7.95e+03	6.15e+02	2.62e+15	3.68e+14	1.95e+43	8.16e+42
58986.42	7.95e+03	6.15e+02	1.89e+15	2.66e+14	1.02e+43	4.25e+42
58986.42	7.95e+03	6.15e+02	1.79e+15	2.52e+14	9.12e+42	3.81e+42
58986.42	7.95e+03	6.15e+02	1.79e+15	2.52e+14	9.12e+42	3.81e+42
58986.48	7.95e+03	6.15e+02	1.74e+15	2.45e+14	8.62e+42	3.60e+42
58986.48	7.95e+03	6.15e+02	2.04e+15	2.86e+14	1.18e+43	4.94e+42
58987.38	7.95e+03	6.15e+02	1.29e+15	1.82e+14	4.75e+42	1.99e+42
58987.39	7.95e+03	6.15e+02	1.34e+15	1.88e+14	5.11e+42	2.14e+42
58991.24	7.95e+03	6.15e+02	1.37e+15	1.93e+14	5.37e+42	2.25e+42
58991.31	7.95e+03	6.15e+02	1.34e+15	1.88e+14	5.08e+42	2.12e+42
58992.29	7.95e+03	6.15e+02	1.20e+15	1.69e+14	4.12e+42	1.72e+42
58992.29	7.95e+03	6.15e+02	1.35e+15	1.90e+14	5.21e+42	2.18e+42
58994.24	7.95e+03	6.15e+02	1.30e+15	1.83e+14	4.83e+42	2.02e+42
58997.22	7.95e+03	6.15e+02	1.22e+15	1.72e+14	4.26e+42	1.78e+42
58997.29	7.95e+03	6.15e+02	1.34e+15	1.88e+14	5.10e+42	2.13e+42
58997.32	7.95e+03	6.15e+02	1.17e+15	1.64e+14	3.89e+42	1.63e+42
58997.32	7.95e+03	6.15e+02	1.33e+15	1.87e+14	5.02e+42	2.10e+42
58999.37	7.95e+03	6.15e+02	1.12e+15	1.58e+14	3.60e+42	1.50e+42
58999.37	7.95e+03	6.15e+02	1.23e+15	1.73e+14	4.32e+42	1.80e+42
59000.25	7.95e+03	6.15e+02	1.21e+15	1.70e+14	4.17e+42	1.75e+42
59000.27	7.95e+03	6.15e+02	1.20e+15	1.68e+14	4.08e+42	1.71e+42
59003.00	7.95e+03	6.15e+02	1.93e+15	2.72e+14	1.06e+43	4.45e+42
59003.00	7.95e+03	6.15e+02	2.37e+15	3.34e+14	1.60e+43	6.70e+42
59003.00	7.95e+03	6.15e+02	2.37e+15	3.34e+14	1.60e+43	6.70e+42
59003.00	7.95e+03	6.15e+02	1.82e+15	2.55e+14	9.39e+42	3.93e+42
59003.01	7.95e+03	6.15e+02	1.85e+15	2.60e+14	9.70e+42	4.05e+42
59003.01	7.95e+03	6.15e+02	1.85e+15	2.60e+14	9.70e+42	4.05e+42
59003.39	7.95e+03	6.15e+02	1.16e+15	1.64e+14	3.86e+42	1.61e+42
59004.20	7.95e+03	6.15e+02	1.13e+15	1.59e+14	3.64e+42	1.52e+42
59004.27	7.95e+03	6.15e+02	1.36e+15	1.92e+14	5.28e+42	2.21e+42
59007.25	7.95e+03	6.15e+02	1.90e+15	2.67e+14	1.03e+43	4.29e+42
59007.25	7.95e+03	6.15e+02	1.82e+15	2.55e+14	9.38e+42	3.92e+42
59007.25	7.95e+03	6.15e+02	2.48e+15	3.48e+14	1.75e+43	7.30e+42
59007.25	7.95e+03	6.15e+02	2.02e+15	2.85e+14	1.17e+43	4.87e+42
59007.26	7.95e+03	6.15e+02	1.88e+15	2.64e+14	1.01e+43	4.20e+42
59007.26	7.95e+03	6.15e+02	1.88e+15	2.64e+14	1.01e+43	4.20e+42
59009.21	7.95e+03	6.15e+02	1.27e+15	1.78e+14	4.56e+42	1.91e+42
59009.24	7.95e+03	6.15e+02	1.04e+15	1.47e+14	3.09e+42	1.29e+42
