# ph	Lobs	err	L+BB	err	

58999.37	2.36e+42	1.23e+42	3.75e+42	1.31e+42
58999.37	2.83e+42	1.47e+42	4.50e+42	1.57e+42
59000.25	2.74e+42	1.42e+42	4.35e+42	1.52e+42
59000.27	2.68e+42	1.39e+42	4.25e+42	1.48e+42
59003.00	6.98e+42	3.63e+42	1.11e+43	3.86e+42
59003.00	1.05e+43	5.47e+42	1.67e+43	5.82e+42
59003.00	1.05e+43	5.47e+42	1.67e+43	5.82e+42
59003.00	6.16e+42	3.20e+42	9.79e+42	3.41e+42
59003.01	6.37e+42	3.31e+42	1.01e+43	3.52e+42
59003.01	6.37e+42	3.31e+42	1.01e+43	3.52e+42
59003.39	2.53e+42	1.32e+42	4.02e+42	1.40e+42
59004.20	2.39e+42	1.24e+42	3.79e+42	1.32e+42
59004.27	3.47e+42	1.80e+42	5.51e+42	1.92e+42
59007.25	6.74e+42	3.50e+42	1.07e+43	3.73e+42
59007.25	6.16e+42	3.20e+42	9.78e+42	3.41e+42
59007.25	1.15e+43	5.95e+42	1.82e+43	6.33e+42
59007.25	7.65e+42	3.98e+42	1.22e+43	4.23e+42
59007.26	6.60e+42	3.43e+42	1.05e+43	3.65e+42
59007.26	6.60e+42	3.43e+42	1.05e+43	3.65e+42
59009.21	3.00e+42	1.56e+42	4.76e+42	1.66e+42
59009.24	2.03e+42	1.05e+42	3.22e+42	1.12e+42
59011.36	6.67e+42	3.47e+42	1.06e+43	3.69e+42
59011.36	9.86e+42	5.12e+42	1.57e+43	5.45e+42
59011.36	9.86e+42	5.12e+42	1.57e+43	5.45e+42
59011.36	7.45e+42	3.87e+42	1.18e+43	4.12e+42
59011.36	7.21e+42	3.75e+42	1.15e+43	3.99e+42
59011.36	6.56e+42	3.41e+42	1.04e+43	3.63e+42
59012.21	1.92e+42	9.98e+41	3.05e+42	1.06e+42
59012.24	2.75e+42	1.43e+42	4.37e+42	1.52e+42
59014.42	1.37e+42	7.10e+41	2.17e+42	7.56e+41
59014.42	2.51e+42	1.30e+42	3.98e+42	1.39e+42
59015.08	7.05e+42	3.66e+42	1.12e+43	3.90e+42
59015.08	8.56e+42	4.44e+42	1.36e+43	4.73e+42
59015.08	8.56e+42	4.44e+42	1.36e+43	4.73e+42
59015.09	8.48e+42	4.41e+42	1.35e+43	4.69e+42
59015.09	6.66e+42	3.46e+42	1.06e+43	3.68e+42
59016.21	1.80e+42	9.37e+41	2.87e+42	9.98e+41
59017.29	1.35e+42	7.03e+41	2.15e+42	7.48e+41
59019.22	2.36e+42	1.22e+42	3.74e+42	1.30e+42
59019.26	1.75e+42	9.08e+41	2.78e+42	9.67e+41
59019.46	6.68e+42	3.47e+42	1.06e+43	3.70e+42
59019.46	8.45e+42	4.39e+42	1.34e+43	4.67e+42
59019.46	8.45e+42	4.39e+42	1.34e+43	4.67e+42
59019.46	7.47e+42	3.88e+42	1.19e+43	4.13e+42
59019.46	7.38e+42	3.83e+42	1.17e+43	4.08e+42
59019.46	7.38e+42	3.83e+42	1.17e+43	4.08e+42
59021.29	1.34e+42	6.95e+41	2.12e+42	7.39e+41
59021.29	2.28e+42	1.19e+42	3.62e+42	1.26e+42
59022.23	2.38e+42	1.24e+42	3.79e+42	1.32e+42
59022.29	1.31e+42	6.82e+41	2.09e+42	7.26e+41
