##phase	U	err	B	err	g	err	V	err	r	err	i	err	z	err	
#
59333.43	21.73	1.01	21.73	1.01	21.73	1.01	21.73	1.01	21.73	1.01	21.73	1.01	21.73	1.01
59333.43	21.39	1.01	21.39	1.01	21.39	1.01	21.39	1.01	21.39	1.01	21.39	1.01	21.39	1.01
59344.33	22.98	1.01	22.98	1.01	22.98	1.01	22.98	1.01	22.98	1.01	22.98	1.01	22.98	1.01
59382.27	22.30	1.01	22.30	1.01	22.30	1.01	22.30	1.01	22.30	1.01	22.30	1.01	22.30	1.01
59382.27	22.72	1.01	22.72	1.01	22.72	1.01	22.72	1.01	22.72	1.01	22.72	1.01	22.72	1.01
59383.27	22.23	1.01	22.23	1.01	22.23	1.01	22.23	1.01	22.23	1.01	22.23	1.01	22.23	1.01
59383.27	22.64	1.01	22.64	1.01	22.64	1.01	22.64	1.01	22.64	1.01	22.64	1.01	22.64	1.01
59384.27	21.28	1.01	21.28	1.01	21.28	1.01	21.28	1.01	21.28	1.01	21.28	1.01	21.28	1.01
59587.64	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01
59588.65	21.31	1.01	21.31	1.01	21.31	1.01	21.31	1.01	21.31	1.01	21.31	1.01	21.31	1.01
59588.65	21.86	1.01	21.86	1.01	21.86	1.01	21.86	1.01	21.86	1.01	21.86	1.01	21.86	1.01
59594.60	21.16	1.01	21.16	1.01	21.16	1.01	21.16	1.01	21.16	1.01	21.16	1.01	21.16	1.01
59594.60	22.97	1.01	22.97	1.01	22.97	1.01	22.97	1.01	22.97	1.01	22.97	1.01	22.97	1.01
59596.62	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01
59596.62	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01
59597.60	20.79	1.01	20.79	1.01	20.79	1.01	20.79	1.01	20.79	1.01	20.79	1.01	20.79	1.01
59598.62	21.20	1.01	21.20	1.01	21.20	1.01	21.20	1.01	21.20	1.01	21.20	1.01	21.20	1.01
59598.62	21.32	1.01	21.32	1.01	21.32	1.01	21.32	1.01	21.32	1.01	21.32	1.01	21.32	1.01
59600.61	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01
59600.62	21.94	1.01	21.94	1.01	21.94	1.01	21.94	1.01	21.94	1.01	21.94	1.01	21.94	1.01
59601.63	24.66	1.01	24.66	1.01	24.66	1.01	24.66	1.01	24.66	1.01	24.66	1.01	24.66	1.01
59602.65	22.21	1.01	22.21	1.01	22.21	1.01	22.21	1.01	22.21	1.01	22.21	1.01	22.21	1.01
59604.61	21.19	1.01	21.19	1.01	21.19	1.01	21.19	1.01	21.19	1.01	21.19	1.01	21.19	1.01
59604.61	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01
59620.60	24.25	1.01	24.25	1.01	24.25	1.01	24.25	1.01	24.25	1.01	24.25	1.01	24.25	1.01
59620.61	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01	21.43	1.01
59623.56	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01
59623.56	21.82	1.01	21.82	1.01	21.82	1.01	21.82	1.01	21.82	1.01	21.82	1.01	21.82	1.01
59625.61	22.05	1.01	22.05	1.01	22.05	1.01	22.05	1.01	22.05	1.01	22.05	1.01	22.05	1.01
59625.61	24.69	1.01	24.69	1.01	24.69	1.01	24.69	1.01	24.69	1.01	24.69	1.01	24.69	1.01
59627.61	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01
59650.48	24.51	1.01	24.51	1.01	24.51	1.01	24.51	1.01	24.51	1.01	24.51	1.01	24.51	1.01
59653.51	20.80	1.01	20.80	1.01	20.80	1.01	20.80	1.01	20.80	1.01	20.80	1.01	20.80	1.01
59653.51	20.78	1.01	20.78	1.01	20.78	1.01	20.78	1.01	20.78	1.01	20.78	1.01	20.78	1.01
59662.48	23.79	1.01	23.79	1.01	23.79	1.01	23.79	1.01	23.79	1.01	23.79	1.01	23.79	1.01
59662.48	21.75	1.01	21.75	1.01	21.75	1.01	21.75	1.01	21.75	1.01	21.75	1.01	21.75	1.01
59678.42	22.48	1.01	22.48	1.01	22.48	1.01	22.48	1.01	22.48	1.01	22.48	1.01	22.48	1.01
59678.42	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01	21.96	1.01
59693.39	21.77	1.01	21.77	1.01	21.77	1.01	21.77	1.01	21.77	1.01	21.77	1.01	21.77	1.01
59693.39	21.02	1.01	21.02	1.01	21.02	1.01	21.02	1.01	21.02	1.01	21.02	1.01	21.02	1.01
59695.32	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01
59695.32	21.81	1.01	21.81	1.01	21.81	1.01	21.81	1.01	21.81	1.01	21.81	1.01	21.81	1.01
59711.38	22.83	1.01	22.83	1.01	22.83	1.01	22.83	1.01	22.83	1.01	22.83	1.01	22.83	1.01
59712.33	23.96	1.01	23.96	1.01	23.96	1.01	23.96	1.01	23.96	1.01	23.96	1.01	23.96	1.01
59714.50	21.83	1.01	21.83	1.01	21.83	1.01	21.83	1.01	21.83	1.01	21.83	1.01	21.83	1.01
59717.35	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01	21.85	1.01
59717.35	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01	22.27	1.01
59726.26	21.62	1.01	21.62	1.01	21.62	1.01	21.62	1.01	21.62	1.01	21.62	1.01	21.62	1.01
59726.27	21.51	1.01	21.51	1.01	21.51	1.01	21.51	1.01	21.51	1.01	21.51	1.01	21.51	1.01
59731.26	21.93	1.01	21.93	1.01	21.93	1.01	21.93	1.01	21.93	1.01	21.93	1.01	21.93	1.01
59731.26	21.46	1.01	21.46	1.01	21.46	1.01	21.46	1.01	21.46	1.01	21.46	1.01	21.46	1.01
59734.27	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01	21.61	1.01
59734.27	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01	21.24	1.01
59767.27	21.68	1.01	21.68	1.01	21.68	1.01	21.68	1.01	21.68	1.01	21.68	1.01	21.68	1.01
59767.27	21.33	1.01	21.33	1.01	21.33	1.01	21.33	1.01	21.33	1.01	21.33	1.01	21.33	1.01
59772.29	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01	21.89	1.01
59772.30	20.96	1.01	20.96	1.01	20.96	1.01	20.96	1.01	20.96	1.01	20.96	1.01	20.96	1.01
59776.30	21.69	1.01	21.69	1.01	21.69	1.01	21.69	1.01	21.69	1.01	21.69	1.01	21.69	1.01
59780.30	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01	21.49	1.01
59780.31	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01	21.87	1.01
59781.26	21.71	1.01	21.71	1.01	21.71	1.01	21.71	1.01	21.71	1.01	21.71	1.01	21.71	1.01
59789.27	23.30	1.01	23.30	1.01	23.30	1.01	23.30	1.01	23.30	1.01	23.30	1.01	23.30	1.01
59802.30	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01	21.99	1.01
59806.32	22.79	1.01	22.79	1.01	22.79	1.01	22.79	1.01	22.79	1.01	22.79	1.01	22.79	1.01
59806.32	22.16	1.01	22.16	1.01	22.16	1.01	22.16	1.01	22.16	1.01	22.16	1.01	22.16	1.01
59811.25	23.86	1.01	23.86	1.01	23.86	1.01	23.86	1.01	23.86	1.01	23.86	1.01	23.86	1.01
59820.25	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01	23.54	1.01
#
## All light curves linearly interpolated
## Extrapolation done by assuming constant colour with reference band
