Date,MJD,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,zmag,e_zmag,Inst
2005-08-03,2453586.43,16.940, 0.048,15.839, 0.014,14.750, 0.012,14.271, 0.010,14.089, 0.010,13.956, 0.010,6
2005-08-05,2453588.38,NaN ,NaN ,15.850, 0.017,14.769, 0.010,14.267, 0.006,14.096, 0.007,NaN ,NaN ,6
2005-08-06,2453589.38,17.040, 0.093,15.890, 0.015,14.767, 0.009,14.263, 0.008,14.094, 0.010,13.930, 0.010,6
2005-08-10,2453593.42,17.166, 0.184,15.934, 0.018,14.784, 0.015,14.285, 0.011,13.962, 0.010,NaN ,NaN ,7
2005-08-12,2453595.38,NaN ,NaN ,15.969, 0.021,14.778, 0.010,14.241, 0.012,14.009, 0.008,NaN ,NaN ,6
2005-08-12,2453595.39,17.244, 0.077,15.960, 0.012,14.776, 0.010,14.241, 0.011,13.983, 0.009,13.847, 0.010,6
2005-08-16,2453599.44,NaN ,NaN ,16.009, 0.037,14.772, 0.013,14.211, 0.004,13.967, 0.004,NaN ,NaN ,6
2005-08-17,2453600.41,NaN ,NaN ,16.012, 0.035,14.768, 0.006,14.206, 0.020,NaN ,NaN ,NaN ,NaN ,1
2005-08-22,2453605.35,NaN ,NaN ,16.088, 0.061,14.745, 0.019,14.198, 0.021,13.946, 0.020,13.774, 0.017,6
2005-08-22,2453605.42,NaN ,NaN ,16.095, 0.026,14.761, 0.014,14.198, 0.010,13.922, 0.010,NaN ,NaN ,6
2005-08-23,2453606.42,NaN ,NaN ,16.110, 0.034,14.771, 0.009,14.164, 0.011,13.886, 0.009,NaN ,NaN ,6
2005-08-27,2453610.34,17.601, 0.210,16.105, 0.029,14.734, 0.011,14.139, 0.009,13.906, 0.010,13.729, 0.008,6
2005-08-27,2453610.37,NaN ,NaN ,16.102, 0.019,14.724, 0.008,14.150, 0.008,13.903, 0.008,NaN ,NaN ,6
2005-08-27,2453610.4,17.586, 0.102,16.070, 0.018,14.793, 0.015,14.181, 0.015,13.944, 0.015,NaN ,NaN ,7
2005-08-30,2453613.34,NaN ,NaN ,16.099, 0.078,14.730, 0.028,14.149, 0.030,13.838, 0.023,13.687, 0.024,6
2005-08-30,2453613.35,NaN ,NaN ,16.107, 0.047,14.732, 0.012,14.122, 0.010,13.886, 0.023,NaN ,NaN ,6
2005-09-01,2453615.33,NaN ,NaN ,16.116, 0.026,14.752, 0.018,14.122, 0.011,NaN ,NaN ,NaN ,NaN ,1
2005-09-01,2453615.35,NaN ,NaN ,16.128, 0.034,14.765, 0.016,14.128, 0.012,13.874, 0.012,NaN ,NaN ,6
2005-09-03,2453617.35,17.636, 0.190,16.140, 0.034,14.768, 0.013,14.171, 0.015,13.840, 0.018,13.670, 0.013,6
2005-09-05,2453619.35,17.669, 0.270,16.138, 0.035,14.778, 0.016,14.155, 0.011,13.853, 0.013,13.681, 0.016,6
2005-09-14,2453628.35,17.718, 0.300,16.194, 0.039,14.838, 0.011,14.110, 0.010,13.801, 0.009,13.641, 0.014,6
2005-10-10,2453654.26,NaN ,NaN ,16.574, 0.230,NaN ,NaN ,NaN ,NaN ,13.942, 0.041,NaN ,NaN ,3
2005-10-11,2453655.28,NaN ,NaN ,16.608, 0.237,15.109, 0.076,NaN ,NaN ,13.959, 0.024,NaN ,NaN ,3
2005-10-16,2453660.28,NaN ,NaN ,16.815, 0.027,15.156, 0.041,14.430, 0.007,NaN ,NaN ,NaN ,NaN ,1
2005-10-16,2453660.31,NaN ,NaN ,16.822, 0.092,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,1
2005-10-18,2453662.26,NaN ,NaN ,16.872, 0.122,15.218, 0.013,14.488, 0.009,NaN ,NaN ,NaN ,NaN ,1
2005-10-28,2453671.67,NaN ,NaN ,18.099, 0.110,16.055, 0.049,15.067, 0.012,NaN ,NaN ,NaN ,NaN ,1
2005-10-29,2453672.68,NaN ,NaN ,18.450, 0.033,16.260, 0.045,15.134, 0.030,14.576, 0.021,NaN ,NaN ,3
2005-11-04,2453678.64,NaN ,NaN ,19.600,NaN ,18.825, 0.280,17.419, 0.042,NaN ,NaN ,NaN ,NaN ,1
2005-11-05,2453679.77,19.930,NaN ,21.053, 0.290,18.870, 0.176,17.483, 0.089,16.673, 0.078,15.943, 0.280,6
2005-11-07,2453681.76,18.680,NaN ,19.340,NaN ,18.864, 0.330,17.422, 0.122,16.656, 0.044,15.916, 0.104,6
2005-11-08,2453682.65,NaN ,NaN ,NaN ,NaN ,18.929, 0.086,17.441, 0.040,NaN ,NaN ,NaN ,NaN ,3
2005-11-09,2453683.7,NaN ,NaN ,21.132, 0.290,19.063, 0.067,17.460, 0.042,NaN ,NaN ,NaN ,NaN ,3
2005-11-09,2453683.76,18.210,NaN ,NaN ,NaN ,17.530, 0.032,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,6
2005-11-11,2453685.77,NaN ,NaN ,NaN ,NaN ,19.256, 0.160,17.547, 0.052,NaN ,NaN ,NaN ,NaN ,6
2005-11-13,2453687.78,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,17.556, 0.088,NaN ,NaN ,NaN ,NaN ,6
2005-11-25,2453699.72,NaN ,NaN ,21.393, 0.530,19.280, 0.440,17.859, 0.103,16.984, 0.193,16.204, 0.420,6
2005-12-02,2453706.71,NaN ,NaN ,21.511, 0.340,19.448, 0.075,18.007, 0.024,NaN ,NaN ,NaN ,NaN ,1
2005-12-03,2453707.74,NaN ,NaN ,NaN ,NaN ,19.429, 0.120,NaN ,NaN ,17.096, 0.061,NaN ,NaN ,6
2005-12-03,2453707.75,NaN ,NaN ,21.562, 0.470,19.435, 0.095,NaN ,NaN ,17.051, 0.163,16.196, 0.450,6
2005-12-05,2453709.74,NaN ,NaN ,21.545, 0.244,19.433, 0.174,17.875, 0.045,17.062, 0.095,16.285, 0.051,6
2005-12-12,2453715.57,NaN ,NaN ,21.636, 0.430,NaN ,NaN ,17.871, 0.148,17.195, 0.095,NaN ,NaN ,3
2005-12-14,2453718.69,NaN ,NaN ,20.340,NaN ,19.524, 0.102,17.959, 0.042,17.191, 0.048,NaN ,NaN ,6
2005-12-22,2453725.72,NaN ,NaN ,21.632, 0.350,19.542, 0.115,NaN ,NaN ,17.261, 0.063,NaN ,NaN ,3
2005-12-27,2453731.64,NaN ,NaN ,NaN ,NaN ,19.563, 0.220,18.077, 0.078,17.237, 0.047,NaN ,NaN ,6
2005-12-31,2453735.62,NaN ,NaN ,NaN ,NaN ,19.577, 0.184,18.130, 0.122,17.290, 0.032,NaN ,NaN ,6
2006-01-15,2453750.74,NaN ,NaN ,NaN ,NaN ,19.479, 0.220,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,1
2006-02-03,2453769.54,NaN ,NaN ,20.300,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,6
2006-02-03,2453769.72,NaN ,NaN ,NaN ,NaN ,19.525, 0.079,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,1
2006-02-04,2453770.57,NaN ,NaN ,NaN ,NaN ,19.610, 0.044,18.380, 0.111,17.523, 0.038,NaN ,NaN ,6
2006-02-08,2453774.63,NaN ,NaN ,21.774, 0.250,19.613, 0.102,18.550, 0.043,17.645, 0.081,NaN ,NaN ,3
2006-02-20,2453786.57,NaN ,NaN ,NaN ,NaN ,19.642, 0.052,18.578, 0.136,17.749, 0.052,NaN ,NaN ,6
2006-03-06,2453800.57,NaN ,NaN ,NaN ,NaN ,19.708, 0.420,18.604, 0.053,17.879, 0.310,NaN ,NaN ,6
2006-03-19,2453814.46,NaN ,NaN ,21.823, 0.210,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,6
2006-03-20,2453815.45,NaN ,NaN ,NaN ,NaN ,19.707, 0.100,18.605, 0.034,17.880, 0.082,NaN ,NaN ,6
2006-03-24,2453818.63,NaN ,NaN ,NaN ,NaN ,19.727, 0.046,18.630, 0.034,17.920, 0.090,NaN ,NaN ,7
2006-04-04,2453830.46,NaN ,NaN ,NaN ,NaN ,19.808, 0.094,18.667, 0.041,17.951, 0.036,NaN ,NaN ,6
2006-04-19,2453845.4,NaN ,NaN ,NaN ,NaN ,19.896, 0.046,18.757, 0.063,18.023, 0.039,NaN ,NaN ,6
2006-05-03,2453859.42,NaN ,NaN ,22.033, 0.320,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,6
2006-05-04,2453860.41,NaN ,NaN ,NaN ,NaN ,20.001, 0.087,18.964, 0.064,18.182, 0.058,NaN ,NaN ,6
2006-05-15,2453871.67,NaN ,NaN ,NaN ,NaN ,20.128, 0.119,18.983, 0.225,18.217, 0.110,NaN ,NaN ,6
2006-06-17,2453904.51,NaN ,NaN ,NaN ,NaN ,20.355, 0.081,19.437, 0.091,18.545, 0.050,NaN ,NaN ,6
2006-07-09,2453926.43,NaN ,NaN ,NaN ,NaN ,20.679, 0.200,19.505, 0.280,18.967, 0.240,NaN ,NaN ,6
