local_sfd,local_sfd_err_upper,local_sfd_err_lower,global_aperture_host_log_mass,global_aperture_host_log_mass_err_upper,global_aperture_host_log_mass_err_lower 
0.03380268547611287,0.05300269226181293,0.018426247998055874,9.973426334769,0.12713743191278049,0.0852149261352988
0.020295800058178704,0.013274951006015707,0.007878102668518428,10.324293067680475,0.11688778696021451,0.1426762800131467
0.01638129759348226,0.01762199733937668,0.007819474900462744,9.326124573284552,0.21539183402562223,0.339711977623546
0.0017859990251096636,0.0010658288121747786,0.0006740548783068543,9.769535694857096,0.13357378166874234,0.10352969081059804
0.004971895721049487,0.027838117656024144,0.0044389980793912796,9.549701644358809,0.11990185692559407,0.209248805929672
0.0017472182046309168,0.002563589017716799,0.000990532932905004,9.095254337389905,0.08929698776548456,0.09212311747735846
0.00907477461468123,0.006666006063052901,0.003930392103128155,10.01113405803561,0.15394764945837913,0.17854125166024737
0.05086579281877153,0.05049353187893571,0.02239466571479235,10.817075323163998,0.08535771914220724,0.10410178929604896
0.03889130719951256,0.06070855324665197,0.020898252536030906,9.88569015481245,0.15271173814714523,0.2677946056441698
0.0051802092201089665,0.006560813245752906,0.0030674229926604592,10.421624075849769,0.11710099640719385,0.11289208314067878
0.024349898816040307,0.02167598881705914,0.01139286230146401,9.39882566053149,0.1709145613002505,0.1686537646876598
0.2068886413714164,0.18503718076359146,0.08515331415716954,10.3272918237305,0.0796938862835006,0.06962378851529927
0.00811703807017497,0.009268055410145474,0.004692114157414358,9.644401376416749,0.11254362314003252,0.1580097634929487
0.00907477461468123,0.006666006063052901,0.003930392103128155,10.01113405803561,0.15394764945837913,0.17854125166024737
0.00794962160243133,0.010975440201118772,0.004701963613779376,10.19721367567691,0.08435961339720066,0.10283097283749498
0.024349898816040307,0.02167598881705914,0.01139286230146401,9.39882566053149,0.1709145613002505,0.1686537646876598
0.003957983623330614,0.004946661621067691,0.0021968602392829074,11.078072598873817,0.0794968107760603,0.07219067361272913
0.014820383182310172,0.01988763567398,0.008752949387074731,10.418606788105556,0.15679409078715167,0.1874626812720006
0.0031116225071483776,0.00487102454798227,0.0019265029060361592,10.28555128921223,0.1428380184791358,0.21885458338052466
0.004971895721049487,0.027838117656024144,0.0044389980793912796,9.549701644358809,0.11990185692559407,0.209248805929672
0.3589751701885484,0.8562996281088272,0.28648923728590064,10.007806209104693,0.07041781140528869,0.0725133924300767
0.006324573869280841,0.004955385447553885,0.0027429253096207524,10.645122594101064,0.09641458015364712,0.09678366047112874
0.0049280202185335185,0.007113840702128112,0.0029903139821556646,9.190098633064496,0.0955564171122294,0.11534881882358228
0.009354648382831805,0.030321811515419166,0.008065831426966368,10.510768543554718,0.3981303236640503,0.7511879636525904
0.010193162634633792,0.03267612058743052,0.008166684325893552,8.839746475374719,0.10009850770157236,0.1511932400799143
0.1379109000810668,0.11748969820565056,0.08477099483518265,9.175149551636682,0.1652333522294036,0.19405781355774465
0.0880819522849985,0.11125933995005549,0.04410236472661194,11.112658659391151,0.129081541762881,0.12506333523457158
0.077176703930439,0.09641456326997715,0.04761265998170782,11.14825358302707,0.12590613607269852,0.19833666074869782
0.01908476782143036,0.016257787283760698,0.009935900507590368,10.743778919159688,0.13082558595885452,0.12510464405015043
0.001654204215070532,0.002159974026549061,0.00112349106411869,9.961402702762236,0.10355281515703041,0.09565616786920117
0.03241346142119228,0.041503864210472446,0.019823259360767155,10.964739284174586,0.10698161839460951,0.07365520955678484
0.012115644839493104,0.02298421179780591,0.00750199764733133,10.317235056465064,0.10564366505566092,0.10539751889218074
0.009010908186210774,0.0159416217914743,0.006907244304254046,10.705789046025938,0.1099948458203226,0.08252777786293386
0.20032621258290406,0.23682988603242736,0.1423420920605423,10.700726432454573,0.14964949197307575,0.12782163936391377
0.033283809271537755,0.07441559278549474,0.022949614860270875,10.541414187997708,0.13910161207795824,0.1496536493402605
0.0022479588060419753,0.004404854317423761,0.001393574746530946,10.892018799056817,0.02997513616699443,0.07016112817537845
0.005270788705900577,0.00486964436511256,0.002470842049290257,10.213498333110449,0.08294371473672335,0.07731752370243683
0.0004774465917030504,0.0005666836890050799,0.00026389597601378216,10.112633532198949,0.11503437468805977,0.09781691105617263
0.003909720916637815,0.007462068297882662,0.0025708849618687993,9.881636957576207,0.1196032571317236,0.12240645662584626
0.008740692778062956,0.02823062036560618,0.0069441988700229326,9.27896206337996,0.2626244578834509,0.38527676325338334
0.05546477432861994,0.09743975163357049,0.04467507247668146,10.305730392852698,0.13036857482915387,0.165031423765992
0.006752540943205291,0.0051911834347982255,0.003495163966192612,10.756148868698299,0.08018432431529376,0.10081012870816863
0.009178554747161215,0.01931506673237892,0.0050883178841073795,10.36897204021123,0.1516463792599314,0.18249333320517636
0.0030666846261290966,0.007661003957162683,0.0022174885178050164,9.637952503972148,0.14489190168756316,0.14015321178130158
0.05468667117702774,0.07561693594739273,0.039536764982225116,10.238701975617182,0.17880063683576353,0.2724040295524972
0.01214330956361414,0.012090191299144959,0.008948660073585371,10.353164928560961,0.11345523225837617,0.12123091978410194
0.012059255224918745,0.015681476417983214,0.0076916581413057775,10.713394056295904,0.09734815972653088,0.0918105867371608
0.00847958820221888,0.006739500359523393,0.0037094207518270335,10.732941511015373,0.05629279888929872,0.07206647509988251
0.012115644839493104,0.02298421179780591,0.00750199764733133,10.317235056465064,0.10564366505566092,0.10539751889218074
0.009010908186210774,0.0159416217914743,0.006907244304254046,10.705789046025938,0.1099948458203226,0.08252777786293386
0.20032621258290406,0.23682988603242736,0.1423420920605423,10.700726432454573,0.14964949197307575,0.12782163936391377
