nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,local_sfd,local_sfd_err_upper,local_sfd_err_lower 
0.0545,0.0003,0.0003,0.03380268547611287,0.05300269226181293,0.018426247998055874
0.0037,0.0038,0.0038,0.020295800058178704,0.013274951006015707,0.007878102668518428
0.0588,0.01,0.01,0.01638129759348226,0.01762199733937668,0.007819474900462744
0.0207,0.0019,0.0019,0.002150889248886163,0.0015684056122492321,0.0010797069505447089
0.0341,0.0006,0.0006,0.0017859990251096636,0.0010658288121747786,0.0006740548783068543
0.0536,0.0119,0.0119,0.004971895721049487,0.027838117656024144,0.0044389980793912796
0.032,0.0023,0.0023,0.0017472182046309168,0.002563589017716799,0.000990532932905004
0.0047,0.0002,0.0002,0.00907477461468123,0.006666006063052901,0.003930392103128155
0.052,0.0162,0.0162,0.03889130719951256,0.06070855324665197,0.020898252536030906
0.0085,0.0002,0.0002,0.0051802092201089665,0.006560813245752906,0.0030674229926604592
0.0044,0.0033,0.0033,0.024349898816040307,0.02167598881705914,0.01139286230146401
0.0497,0.0059,0.0059,0.012097706400185775,0.007613349818024521,0.003565710167212174
0.0394,0.0051,0.0051,0.2068886413714164,0.18503718076359146,0.08515331415716954
0.005,0.001,0.001,0.00811703807017497,0.009268055410145474,0.004692114157414358
0.005,0.003,0.003,0.00907477461468123,0.006666006063052901,0.003930392103128155
0.007,0.003,0.003,0.00794962160243133,0.010975440201118772,0.004701963613779376
0.004,0.001,0.001,0.024349898816040307,0.02167598881705914,0.01139286230146401
0.05,0.008,0.009,0.004971895721049487,0.027838117656024144,0.0044389980793912796
0.017,0.006,0.009,0.002074660325062558,0.0035805015037741715,0.0011780704393291445
0.063,0.001,0.001,0.012115644839493104,0.02298421179780591,0.00750199764733133
0.069,0.004,0.003,0.003909720916637815,0.007462068297882662,0.0025708849618687993
0.0684,0.0017,0.0017,0.03852020468770652,0.08384952562982509,0.02815235712629058
0.1239,0.0024,0.0021,0.2752467978525385,0.3181448699839328,0.18705093125282765
0.0441,0.0004,0.0004,0.004014042175243928,0.004218480185741003,0.0022203193504647034
0.1105,0.0028,0.0024,0.004509781335204694,0.018418830178320366,0.0035875083291873064
