plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,global_aperture_host_logsfh,global_aperture_host_logsfh_err_upper,global_aperture_host_logsfh_err_lower 
86.2,0.5,0.5,-1.6760210795648418,0.8323221078920365,1.5288077762281813
122.6,1.0,1.0,-0.30015239082689504,0.5319181974262515,1.3725789678906957
102.0,1.0,1.0,-0.3791348352621585,0.42558107124431577,0.7816316544386074
87.8,1.0,1.0,0.05087589387158182,0.17597743196772705,0.2392700332993143
117.9,1.0,1.0,-1.1113411642766613,0.606637796838972,1.5242288683641798
126.6,3.1,3.1,-1.8264686542124522,0.4007107629047595,0.5401871715165034
124.2,4.5,4.5,-1.192777730756216,0.8740523940274794,1.7430492397305222
135.5,3.0,3.0,-1.2489504486126388,0.24551646346905032,0.3372664121552533
118.3,5.0,5.0,-0.5721134508593659,0.39287425965851375,0.9524768272570805
140.2,2.0,2.0,0.16497761927845625,0.23423999044761465,0.4843731804638518
90.0,2.0,2.0,0.23855375050295954,0.29433873936774946,0.626398578206662
117.8,8.0,8.0,-0.591029722905263,0.240969562005182,0.522808302638357
106.2,2.0,2.0,-0.591881381274931,0.35027912114788895,0.781975817637819
110.6,5.0,5.0,0.182735656853775,0.200457406872684,0.2213129595680321
80.5,8.0,8.0,0.047799625225445744,0.4099186189157344,0.6788791988799376
96.0,7.0,7.0,-1.1113411642766613,0.606637796838972,1.5242288683641798
92.8,5.0,5.0,0.7594024032191151,0.16614906927964124,0.3155197718920919
93.0,5.0,5.0,-1.2188116805003553,0.2743012710300261,0.5111194096858789
92.5,9.0,9.0,1.4403827845805695,0.483784481426746,0.5317719696484994
87.8,7.0,7.0,-1.2324157197866639,0.29481975978636044,1.1479008043498042
108.5,7.0,7.0,0.9420771780204864,0.4261319150414422,1.4518639837634293
86.0,6.0,6.0,1.0625623633711085,0.4723262018757053,1.255264965851195
108.9,7.0,7.0,0.021118479291930455,0.7872478400622483,1.9183341902375939
80.7,6.0,6.0,-1.2650258082397394,0.44214446000677976,1.4471822996376396
84.9,4.0,4.0,-0.4365225855429128,0.6850251316339914,2.032249760632195
120.2,6.0,6.0,-0.12032708104495056,0.28150873538194426,0.5656754980406911
106.06,4.0,4.0,-0.4709173973547247,0.46984612280407057,0.9273512615446193
94.0,8.0,8.0,-0.7299386648223402,0.6942061555229089,1.3846215064642418
112.9,10.0,10.0,0.2113959198332235,0.3423641162970458,0.3551996096340236
92.6,10.0,10.0,1.1507288914147713,0.34827035630299497,0.2841975490425962
85.6,8.0,8.0,-0.5063424956243487,0.29340672586816796,0.39897798730542267
85.2,6.0,6.0,-1.1586234871815946,0.37550834850808557,0.6613388039728143
96.9,8.0,8.0,-0.16777687622306195,0.21551407132054112,0.4543333939391191
77.3,8.0,8.0,-0.44869354093270797,0.39113904874856154,0.8978617884586682
97.7,7.0,7.0,-1.8157908558835658,0.8012051501578505,1.9672581229866297
71.3,11.0,11.0,1.1423503404540172,0.25941118313164635,0.5326659783077081
103.4,5.0,5.0,0.18128261366374315,0.19507507493126647,0.25206279915715996
75.3,10.0,10.0,-1.0799246002039768,0.32716403242710934,0.40424985205320496
72.8,6.0,6.0,-0.5018476221471122,0.3063376428962882,0.5074534699811828
41.7,6.0,6.0,-0.15887537040616548,0.30033371219091987,0.39444653341433467
107.67,0.88,0.79,0.049683444972449,0.215018867164502,0.291408671142529
54.0,7.0,7.0,-0.6977477457162091,0.29848875281602205,0.5789822453051168
88.05,1.36,1.25,-1.13444595644699,0.47040700419161896,1.33884854107542
91.11,1.43,1.07,0.129498405332621,0.31237905746766004,1.092883804293307
