plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,local_aperture_host_logsfh,local_aperture_host_logsfh_err_upper,local_aperture_host_logsfh_err_lower 
86.2,0.5,0.5,-2.5186387267730765,0.7775492843780758,1.163431417971927
122.6,1.0,1.0,-0.5249945094642784,0.18660359881668243,0.18327008811495438
102.0,1.0,1.0,-1.700828562043056,0.5244622365133871,0.8273227176515272
99.4,1.0,1.0,-1.71719058320852,0.13052103044659003,0.16055823215730003
87.8,1.0,1.0,-1.3773356712183578,0.14257939104462136,0.20444468886044365
117.9,1.0,1.0,-1.1765757266754593,0.525594020056535,0.9490556590782948
126.6,3.1,3.1,-1.5006455120630902,0.34029949028484596,0.468201755957415
124.2,4.5,4.5,-0.6322571388310739,0.190750567757222,0.20334905708390327
125.8,0.5,0.5,-0.521958459199141,0.277232615350137,0.28755971585057405
135.5,3.0,3.0,-1.6239808683029697,0.3550984592526012,0.5394440068973536
118.3,5.0,5.0,-0.5702201832761413,0.2930261737305684,0.5728796207366267
140.2,2.0,2.0,-0.41513058831197613,0.28483135172340973,0.37061018217224273
90.0,2.0,2.0,-1.0449515617177563,0.16735430386985195,0.23824701917493418
117.8,8.0,8.0,-1.05668102051926,0.154246428763386,0.22391569623669993
106.2,2.0,2.0,-0.589587174990624,0.330131758650168,0.39187183443879603
135.2,4.0,4.0,-0.27667373118084,0.21773046190927778,0.16116124590340203
110.6,5.0,5.0,-0.421326901941917,0.22346594320325602,0.29343058068606
80.5,8.0,8.0,-1.3179979184996649,0.40649259142446204,0.4371585688733668
96.0,7.0,7.0,-1.1765757266754593,0.525594020056535,0.9490556590782948
83.2,12.0,12.0,-1.2314405514869586,0.47294073086872046,0.34761357827000183
92.8,5.0,5.0,-1.3090193555446497,0.14311171308344206,0.17006019234088066
93.0,5.0,5.0,-1.3002092668201897,0.28773617441156474,0.4536480545369348
92.5,9.0,9.0,-0.9518460408110601,0.5198997967085928,0.9890025242940887
87.8,7.0,7.0,-1.4992923415291046,0.32037771389562075,0.44546441852068086
108.5,7.0,7.0,-0.3463991374508407,0.3160456431904635,0.4017013732708493
86.0,6.0,6.0,-0.14037133493438192,0.25909071557319313,0.4103251966814717
108.9,7.0,7.0,-0.5733836128943929,0.2632338552049448,0.38820924968617976
80.7,6.0,6.0,-1.906876408085356,0.41841861474181785,0.6569270536932847
84.9,4.0,4.0,-0.5094617825892057,0.3814827725072795,0.6018555928642423
120.2,6.0,6.0,-1.108550787768175,0.3882152332498995,0.37283345795225054
84.2,7.0,7.0,-1.0712271081006701,0.46666619253743125,0.5870120358032029
112.9,10.0,10.0,-1.0319678277044977,0.29616885280520755,0.46887538439024734
92.6,10.0,10.0,0.38226738784022074,0.29416248703362025,0.358641322426691
85.2,6.0,6.0,-1.3650145376469758,0.5932975786032522,0.47270914576811296
96.9,8.0,8.0,-1.041464814475147,0.317556162642358,0.4670143242943434
88.3,7.0,7.0,0.12925637107936866,0.38686265222659316,0.3924501775970342
77.3,8.0,8.0,-2.131914389248717,0.2723188127412257,0.3498540644966375
97.7,7.0,7.0,-1.2175953164256912,0.45093489824102706,0.558157465602017
103.4,5.0,5.0,-1.1981846418293398,0.39737857249182396,0.5598909523509377
72.8,6.0,6.0,-1.27422010080229,0.35040718433360585,0.4514096838057997
41.7,6.0,6.0,-1.0642376743744302,0.13518048035294594,0.13246907923157702
107.67,0.88,0.79,-0.338898029044838,0.20226923594868101,0.274041159086832
88.05,1.36,1.25,-1.74937125134114,0.875259404502912,1.3176538209119002
60.57,0.41,0.37,-1.33867882155102,0.15157189563403994,0.16219917556749008
91.11,1.43,1.07,-1.4996283251069,0.45282655421569995,0.5006746655729399
