# INSTRUMENT_ID: 7
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 187.731045833333
# DEC: 9.15283611111111
# OBS_DATE: 2020-07-25 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 41161
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3552.680,4.32303e-02,-9.90000e+01
3553.860,8.02436e-03,-9.90000e+01
3555.050,1.86645e-02,-9.90000e+01
3556.230,3.85209e-02,-9.90000e+01
3557.420,2.89631e-02,-9.90000e+01
3558.600,-2.12284e-03,-9.90000e+01
3559.780,1.03696e-02,-9.90000e+01
3560.970,2.73218e-02,-9.90000e+01
3562.150,2.89626e-02,-9.90000e+01
3563.340,-8.70828e-03,-9.90000e+01
3564.520,2.88964e-02,-9.90000e+01
3565.700,5.11270e-02,-9.90000e+01
3566.890,5.30673e-02,-9.90000e+01
3568.070,3.25824e-02,-9.90000e+01
3569.260,3.58587e-02,-9.90000e+01
3570.440,2.62975e-02,-9.90000e+01
3571.630,2.56390e-02,-9.90000e+01
3572.810,2.81641e-02,-9.90000e+01
3573.990,3.75735e-02,-9.90000e+01
3575.180,1.55524e-02,-9.90000e+01
3576.360,2.04655e-02,-9.90000e+01
3577.550,2.39961e-02,-9.90000e+01
3578.730,1.67968e-02,-9.90000e+01
3579.910,2.25389e-02,-9.90000e+01
3581.100,1.05016e-02,-9.90000e+01
3582.280,2.84998e-02,-9.90000e+01
3583.470,1.76365e-02,-9.90000e+01
3584.650,1.92208e-02,-9.90000e+01
3585.830,1.36412e-02,-9.90000e+01
3587.020,3.37950e-02,-9.90000e+01
3588.200,1.45260e-02,-9.90000e+01
3589.390,3.18694e-02,-9.90000e+01
3590.570,4.23792e-02,-9.90000e+01
3591.760,4.14116e-02,-9.90000e+01
3592.940,3.70973e-02,-9.90000e+01
3594.120,4.79364e-02,-9.90000e+01
3595.310,4.76386e-02,-9.90000e+01
3596.490,1.45313e-02,-9.90000e+01
3597.680,2.15376e-02,-9.90000e+01
3598.860,3.03343e-02,-9.90000e+01
3600.040,4.34933e-02,-9.90000e+01
3601.230,5.40311e-02,-9.90000e+01
3602.410,4.48145e-02,-9.90000e+01
3603.600,1.16487e-02,-9.90000e+01
3604.780,3.11461e-02,-9.90000e+01
3605.960,3.46005e-02,-9.90000e+01
3607.150,6.17916e-02,-9.90000e+01
3608.330,3.41113e-02,-9.90000e+01
3609.520,3.37998e-02,-9.90000e+01
3610.700,5.18005e-02,-9.90000e+01
3611.880,3.60476e-02,-9.90000e+01
3613.070,2.77435e-02,-9.90000e+01
3614.250,3.00612e-02,-9.90000e+01
3615.440,6.45888e-02,-9.90000e+01
3616.620,5.70095e-02,-9.90000e+01
3617.810,4.45781e-02,-9.90000e+01
3618.990,4.94405e-02,-9.90000e+01
3620.170,5.75362e-02,-9.90000e+01
3621.360,3.80112e-02,-9.90000e+01
3622.540,5.09103e-02,-9.90000e+01
3623.730,7.51371e-02,-9.90000e+01
3624.910,2.72002e-02,-9.90000e+01
3626.090,1.82131e-02,-9.90000e+01
3627.280,4.34928e-02,-9.90000e+01
3628.460,4.15751e-02,-9.90000e+01
3629.650,6.29886e-02,-9.90000e+01
3630.830,3.60512e-02,-9.90000e+01
3632.010,5.01614e-02,-9.90000e+01
3633.200,5.49576e-02,-9.90000e+01
3634.380,5.27243e-02,-9.90000e+01
3635.570,5.83184e-02,-9.90000e+01
3636.750,5.07393e-02,-9.90000e+01
3637.940,5.69948e-02,-9.90000e+01
3639.120,5.71476e-02,-9.90000e+01
3640.300,5.58124e-02,-9.90000e+01
3641.490,5.49778e-02,-9.90000e+01
3642.670,5.90492e-02,-9.90000e+01
3643.860,4.76764e-02,-9.90000e+01
3645.040,6.42828e-02,-9.90000e+01
3646.220,7.09148e-02,-9.90000e+01
3647.410,5.53762e-02,-9.90000e+01
3648.590,4.05310e-02,-9.90000e+01
3649.780,6.62548e-02,-9.90000e+01
3650.960,5.89432e-02,-9.90000e+01
3652.140,5.36909e-02,-9.90000e+01
3653.330,4.09729e-02,-9.90000e+01
3654.510,5.38779e-02,-9.90000e+01
3655.700,7.35194e-02,-9.90000e+01
3656.880,5.61249e-02,-9.90000e+01
3658.060,5.50284e-02,-9.90000e+01
3659.250,7.01642e-02,-9.90000e+01
3660.430,4.57345e-02,-9.90000e+01
3661.620,4.00313e-02,-9.90000e+01
3662.800,4.77924e-02,-9.90000e+01
3663.990,2.50344e-02,-9.90000e+01
3665.170,4.28022e-02,-9.90000e+01
3666.350,5.78284e-02,-9.90000e+01
3667.540,3.57134e-02,-9.90000e+01
3668.720,5.99608e-02,-9.90000e+01
3669.910,3.91392e-02,-9.90000e+01
3671.090,2.50569e-02,-9.90000e+01
3672.270,2.33738e-02,-9.90000e+01
3673.460,3.14962e-02,-9.90000e+01
3674.640,4.43964e-02,-9.90000e+01
3675.830,3.72734e-02,-9.90000e+01
3677.010,4.90506e-03,-9.90000e+01
3678.190,3.44025e-02,-9.90000e+01
3679.380,1.91320e-02,-9.90000e+01
3680.560,2.72806e-02,-9.90000e+01
3681.750,2.33759e-02,-9.90000e+01
3682.930,3.36478e-02,-9.90000e+01
3684.120,3.48543e-02,-9.90000e+01
3685.300,2.23525e-02,-9.90000e+01
3686.480,3.94101e-02,-9.90000e+01
3687.670,5.54081e-02,-9.90000e+01
3688.850,3.53062e-02,-9.90000e+01
3690.040,3.56891e-02,-9.90000e+01
3691.220,3.65842e-02,-9.90000e+01
3692.400,5.02967e-02,-9.90000e+01
3693.590,4.30979e-02,-9.90000e+01
3694.770,3.85569e-02,-9.90000e+01
3695.960,5.64490e-02,-9.90000e+01
3697.140,4.08365e-02,-9.90000e+01
3698.320,2.43815e-02,-9.90000e+01
3699.510,4.35900e-02,-9.90000e+01
3700.690,5.15289e-02,-9.90000e+01
3701.880,5.39709e-02,-9.90000e+01
3703.060,3.41688e-02,-9.90000e+01
3704.250,3.36517e-02,-9.90000e+01
3705.430,4.42769e-02,-9.90000e+01
3706.610,3.15886e-02,-9.90000e+01
3707.800,5.99652e-02,-9.90000e+01
3708.980,3.87426e-02,-9.90000e+01
3710.170,5.53190e-02,-9.90000e+01
3711.350,3.12189e-02,-9.90000e+01
3712.530,4.59809e-02,-9.90000e+01
3713.720,3.68108e-02,-9.90000e+01
3714.900,1.88030e-02,-9.90000e+01
3716.090,6.05258e-02,-9.90000e+01
3717.270,3.70266e-02,-9.90000e+01
3718.450,2.12369e-02,-9.90000e+01
3719.640,3.82420e-02,-9.90000e+01
3720.820,3.04118e-02,-9.90000e+01
3722.010,4.95868e-02,-9.90000e+01
3723.190,5.50735e-02,-9.90000e+01
3724.380,7.08167e-02,-9.90000e+01
3725.560,3.39354e-02,-9.90000e+01
3726.740,6.22334e-02,-9.90000e+01
3727.930,4.47447e-02,-9.90000e+01
3729.110,5.21857e-02,-9.90000e+01
3730.300,5.26282e-02,-9.90000e+01
3731.480,5.40397e-02,-9.90000e+01
3732.660,4.14397e-02,-9.90000e+01
3733.850,4.05731e-02,-9.90000e+01
3735.030,4.36278e-02,-9.90000e+01
3736.220,3.47276e-02,-9.90000e+01
3737.400,4.78916e-02,-9.90000e+01
3738.580,3.85295e-02,-9.90000e+01
3739.770,3.97830e-02,-9.90000e+01
3740.950,5.74096e-02,-9.90000e+01
3742.140,6.25428e-02,-9.90000e+01
3743.320,4.92499e-02,-9.90000e+01
3744.500,5.35682e-02,-9.90000e+01
3745.690,5.19865e-02,-9.90000e+01
3746.870,5.23016e-02,-9.90000e+01
3748.060,5.64415e-02,-9.90000e+01
3749.240,4.69654e-02,-9.90000e+01
3750.430,4.74616e-02,-9.90000e+01
3751.610,4.63713e-02,-9.90000e+01
3752.790,6.10586e-02,-9.90000e+01
3753.980,6.31007e-02,-9.90000e+01
3755.160,4.34178e-02,-9.90000e+01
3756.350,4.44151e-02,-9.90000e+01
3757.530,4.23178e-02,-9.90000e+01
3758.710,5.94358e-02,-9.90000e+01
3759.900,5.53141e-02,-9.90000e+01
3761.080,5.20664e-02,-9.90000e+01
3762.270,3.94815e-02,-9.90000e+01
3763.450,3.64653e-02,-9.90000e+01
3764.630,4.57957e-02,-9.90000e+01
3765.820,3.45200e-02,-9.90000e+01
3767.000,5.06763e-02,-9.90000e+01
3768.190,4.09938e-02,-9.90000e+01
3769.370,3.42324e-02,-9.90000e+01
3770.560,3.77875e-02,-9.90000e+01
3771.740,4.85208e-02,-9.90000e+01
3772.920,4.31430e-02,-9.90000e+01
3774.110,1.83324e-02,-9.90000e+01
3775.290,3.17263e-02,-9.90000e+01
3776.480,5.28029e-02,-9.90000e+01
3777.660,4.03407e-02,-9.90000e+01
3778.840,3.28543e-02,-9.90000e+01
3780.030,5.42581e-02,-9.90000e+01
3781.210,5.65612e-02,-9.90000e+01
3782.400,4.87942e-02,-9.90000e+01
3783.580,3.79998e-02,-9.90000e+01
3784.760,5.74880e-02,-9.90000e+01
3785.950,7.19801e-02,-9.90000e+01
3787.130,7.08584e-02,-9.90000e+01
3788.320,6.67149e-02,-9.90000e+01
3789.500,4.74590e-02,-9.90000e+01
3790.680,4.43287e-02,-9.90000e+01
3791.870,4.09354e-02,-9.90000e+01
3793.050,5.07094e-02,-9.90000e+01
3794.240,3.36395e-02,-9.90000e+01
3795.420,7.52184e-02,-9.90000e+01
3796.610,4.76747e-02,-9.90000e+01
3797.790,5.61620e-02,-9.90000e+01
3798.970,6.42620e-02,-9.90000e+01
3800.160,5.45934e-02,-9.90000e+01
3801.340,4.32432e-02,-9.90000e+01
3802.530,4.46873e-02,-9.90000e+01
3803.710,6.10345e-02,-9.90000e+01
3804.890,6.39820e-02,-9.90000e+01
3806.080,4.53353e-02,-9.90000e+01
3807.260,3.23092e-02,-9.90000e+01
3808.450,4.02012e-02,-9.90000e+01
3809.630,5.53126e-02,-9.90000e+01
3810.810,4.43126e-02,-9.90000e+01
3812.000,5.35402e-02,-9.90000e+01
3813.180,4.39712e-02,-9.90000e+01
3814.370,5.08998e-02,-9.90000e+01
3815.550,4.16061e-02,-9.90000e+01
3816.740,5.12502e-02,-9.90000e+01
3817.920,2.97198e-02,-9.90000e+01
3819.100,5.24123e-02,-9.90000e+01
3820.290,5.05321e-02,-9.90000e+01
3821.470,3.53324e-02,-9.90000e+01
3822.660,3.38243e-02,-9.90000e+01
3823.840,3.67429e-02,-9.90000e+01
3825.020,3.57163e-02,-9.90000e+01
3826.210,3.68630e-02,-9.90000e+01
3827.390,1.85383e-02,-9.90000e+01
3828.580,2.28139e-02,-9.90000e+01
3829.760,3.38096e-02,-9.90000e+01
3830.940,4.05401e-02,-9.90000e+01
3832.130,4.84395e-02,-9.90000e+01
3833.310,3.12835e-02,-9.90000e+01
3834.500,3.06478e-02,-9.90000e+01
3835.680,2.48197e-02,-9.90000e+01
3836.860,2.81878e-02,-9.90000e+01
3838.050,1.88794e-02,-9.90000e+01
3839.230,1.34035e-02,-9.90000e+01
3840.420,3.50289e-02,-9.90000e+01
3841.600,3.80946e-02,-9.90000e+01
3842.790,3.11237e-02,-9.90000e+01
3843.970,2.97239e-02,-9.90000e+01
3845.150,2.85202e-02,-9.90000e+01
3846.340,1.91230e-02,-9.90000e+01
3847.520,1.84791e-02,-9.90000e+01
3848.710,3.91531e-02,-9.90000e+01
3849.890,3.86006e-02,-9.90000e+01
3851.070,3.23573e-02,-9.90000e+01
3852.260,2.85832e-02,-9.90000e+01
3853.440,2.30821e-02,-9.90000e+01
3854.630,2.28770e-02,-9.90000e+01
3855.810,3.39106e-02,-9.90000e+01
3856.990,2.75519e-02,-9.90000e+01
3858.180,4.86687e-02,-9.90000e+01
3859.360,3.28369e-02,-9.90000e+01
3860.550,2.68772e-02,-9.90000e+01
