59154.411 19.49 0.117 PAN-STARRS/PS1.i AB
59158.393 19.387 0.269 PAN-STARRS/PS1.r AB
59163.354 19.559 0.047 PAN-STARRS/PS1.i AB
59163.356 21.076 0.17 PAN-STARRS/PS1.g AB
59169.221 20.884 0.228 PAN-STARRS/PS1.g AB
59169.224 19.645 0.06 PAN-STARRS/PS1.i AB
59173.375 21.231 0.392 PAN-STARRS/PS1.g AB
59173.378 20.033 0.12 PAN-STARRS/PS1.r AB
59182.358 20.264 0.377 PAN-STARRS/PS1.r AB
59182.361 19.997 0.206 PAN-STARRS/PS1.z AB
59186.345 20.304 0.221 PAN-STARRS/PS1.r AB
59186.348 20.138 0.109 PAN-STARRS/PS1.i AB
59190.286 22.127 0.296 PAN-STARRS/PS1.g AB
59190.289 20.274 0.137 PAN-STARRS/PS1.z AB
59192.306 20.55 0.211 PAN-STARRS/PS1.i AB
59192.309 21.938 0.741 PAN-STARRS/PS1.g AB
59381.58 21.962 0.771 PAN-STARRS/PS1.g AB
59381.582 23.252 3.331 PAN-STARRS/PS1.r AB
59385.597 28.705 156.091 PAN-STARRS/PS1.r AB
59385.6  -2.689 PAN-STARRS/PS1.z AB
59387.585  -1.367 PAN-STARRS/PS1.i AB
59390.601 21.721 0.674 PAN-STARRS/PS1.r AB
59390.604 23.985 9.682 PAN-STARRS/PS1.z AB
59393.601  -4.192 PAN-STARRS/PS1.i AB
59393.603  -6.986 PAN-STARRS/PS1.r AB
59400.571 23.141 0.931 PAN-STARRS/PS1.g AB
59400.574 23.365 0.794 PAN-STARRS/PS1.r AB
59401.557 22.825 1.747 PAN-STARRS/PS1.g AB
59406.575  -0.493 PAN-STARRS/PS1.g AB
59406.578  -0.95 PAN-STARRS/PS1.r AB
59410.564 25.972 41.038 PAN-STARRS/PS1.r AB
59410.567  -6.533 PAN-STARRS/PS1.g AB
59412.513 22.407 0.65 PAN-STARRS/PS1.g AB
59412.516  -0.564 PAN-STARRS/PS1.i AB
59414.564  -5.577 PAN-STARRS/PS1.r AB
59414.567  -30.904 PAN-STARRS/PS1.z AB
59417.516 23.342 5.944 PAN-STARRS/PS1.r AB
59417.519 21.401 1.93 PAN-STARRS/PS1.z AB
59420.556 21.77 1.108 PAN-STARRS/PS1.i AB
59420.559  -2.317 PAN-STARRS/PS1.r AB
59428.523 22.013 1.074 PAN-STARRS/PS1.z AB
59428.526 27.197 51.232 PAN-STARRS/PS1.g AB
59431.475  -2.837 PAN-STARRS/PS1.i AB
59431.478 22.299 0.715 PAN-STARRS/PS1.g AB
59435.458  -0.731 PAN-STARRS/PS1.r AB
59435.461  -5.451 PAN-STARRS/PS1.g AB
59438.614  -0.902 PAN-STARRS/PS1.i AB
59438.617 25.18 6.236 PAN-STARRS/PS1.g AB
59443.621  -1.913 PAN-STARRS/PS1.g AB
59443.624  -2.338 PAN-STARRS/PS1.z AB
59446.59  -2.182 PAN-STARRS/PS1.i AB
59446.593 22.692 1.729 PAN-STARRS/PS1.r AB
59448.594  -12.299 PAN-STARRS/PS1.r AB
59448.596 22.145 0.886 PAN-STARRS/PS1.z AB
