"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
101.773 4.574 0.049 1.538 0.043 41.868 39.996
102.780 4.521 0.046 1.555 0.041 41.857 39.984
103.787 4.919 0.086 1.246 0.051 41.811 39.928
104.794 5.196 0.099 1.074 0.045 41.777 39.804
105.800 5.427 0.113 0.950 0.042 41.746 39.696
106.807 5.543 0.123 0.874 0.040 41.711 39.631
107.814 5.642 0.459 0.816 0.142 41.682 40.045
108.821 5.751 0.490 0.761 0.136 41.655 39.915
109.827 5.698 0.014 0.761 0.000 41.639 39.627
110.834 5.623 0.014 0.761 0.000 41.616 39.610
111.841 5.549 0.014 0.761 0.000 41.593 39.594
112.848 5.477 0.014 0.761 0.000 41.570 39.579
113.855 5.406 0.014 0.761 0.000 41.548 39.564
114.861 5.338 0.014 0.761 0.000 41.525 39.549
115.868 5.271 0.014 0.761 0.000 41.503 39.535
116.875 5.205 0.014 0.761 0.000 41.482 39.522
117.882 5.142 0.014 0.761 0.000 41.460 39.509
118.888 5.079 0.014 0.761 0.000 41.439 39.496
119.895 5.018 0.015 0.761 0.000 41.418 39.483
120.902 4.959 0.015 0.761 0.000 41.398 39.470
121.909 4.901 0.015 0.761 0.000 41.377 39.458
122.916 4.844 0.015 0.761 0.000 41.357 39.446
123.922 4.789 0.015 0.761 0.000 41.337 39.435
124.929 4.735 0.015 0.761 0.000 41.317 39.423
125.936 4.682 0.015 0.761 0.000 41.298 39.412
126.943 4.640 0.015 0.761 0.000 41.282 39.405
127.949 4.632 0.016 0.761 0.000 41.279 39.415
128.956 4.625 0.016 0.761 0.000 41.277 39.425
129.963 4.619 0.017 0.761 0.000 41.274 39.434
