"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
39.353 5.172 0.019 1.787 0.015 1627982464558141209061589634109650619072512.000 4881034229045203358010248301832300396544.000
40.360 5.195 0.020 1.737 0.015 1566803369107162477596823078911898053246976.000 4690867951979511221169632669040709206016.000
41.367 5.058 0.019 1.881 0.016 1650186885250978033980273604738738343116800.000 5284564489490627819101960796992121602048.000
42.373 5.126 0.020 1.782 0.015 1561950812202614233980716075007880604942336.000 4891019082529718538708810040468811284480.000
43.380 5.064 0.019 1.857 0.016 1616259966115392952357377589072590113079296.000 5225118098082577021629800049086491000832.000
44.387 5.235 0.022 1.648 0.015 1452904832983284470895966560647568913596416.000 4416308592026912893645930525111087005696.000
45.394 5.123 0.020 1.775 0.016 1545799392015374650023954089799226606223360.000 4952525325494332227530621730400419971072.000
46.401 5.157 0.021 1.731 0.015 1510185002880161755086581388221941771403264.000 4816162061845727947421436230774189719552.000
47.407 5.166 0.021 1.717 0.016 1495354673770029834375357106815437943865344.000 4805715503291012010713677149659532886016.000
48.414 5.176 0.021 1.701 0.016 1480822698295233334440122942652278007398400.000 4796605920191577435910717652238963048448.000
49.421 5.192 0.022 1.684 0.016 1468770678743048661560543223798586740310016.000 4785081724366286138128249367303332823040.000
50.428 5.232 0.022 1.636 0.016 1428152376476814719969464717125230780219392.000 4645615019690061143881249451374813380608.000
51.434 5.204 0.023 1.650 0.016 1423244123087369562083733911919357352476672.000 4765120450327521115634140467570858262528.000
52.441 5.069 0.022 1.734 0.017 1415168531694387127833053766710588661039104.000 5163918820868795316095034057095534084096.000
53.448 5.062 0.022 1.735 0.017 1408478693400886411349530110079859456737280.000 5248752400575357856591161397370026983424.000
54.455 5.060 0.022 1.745 0.018 1421839754068309099546288037441500132409344.000 5387411518983829052899669449531201683456.000
55.462 5.079 0.023 1.727 0.018 1413493663477759062662152301876238146863104.000 5429885770839559882401174452811476238336.000
56.468 5.059 0.023 1.748 0.018 1426636739332779856257879493262006405824512.000 5634130432194305283307750450824625520640.000
57.475 5.131 0.025 1.657 0.018 1356771318209999177976511846994695843479552.000 5301583022564011531611780159773297606656.000
