# SN1987A    bands=BVRI 
# mu=18.49+/-0.00  ABg=0.79+/-0.00 ABi=0.00+/-0.00 
164.98  41.022  0.015 
170.83  41.003  0.015 
171.88  40.998  0.015 
172.86  40.995  0.015 
173.97  40.994  0.015 
175.21  40.980  0.015 
175.88  40.987  0.015 
177.19  40.974  0.015 
177.97  40.980  0.015 
178.97  40.968  0.015 
181.93  40.966  0.015 
183.87  40.956  0.015 
183.87  40.957  0.015 
184.90  40.953  0.015 
188.20  40.934  0.015 
190.96  40.937  0.015 
191.85  40.938  0.015 
192.19  40.922  0.015 
193.80  40.931  0.015 
194.84  40.925  0.015 
195.15  40.914  0.015 
195.78  40.922  0.015 
196.80  40.922  0.015 
197.84  40.916  0.015 
198.15  40.902  0.015 
198.97  40.906  0.015 
199.86  40.924  0.015 
201.10  40.903  0.015 
202.91  40.899  0.015 
204.93  40.890  0.015 
205.09  40.880  0.015 
205.88  40.888  0.015 
205.88  40.887  0.015 
206.92  40.883  0.015 
213.93  40.864  0.015 
215.11  40.848  0.015 
218.82  40.850  0.015 
220.80  40.844  0.015 
221.87  40.835  0.015 
222.92  40.832  0.015 
223.93  40.827  0.015 
224.82  40.832  0.015 
225.82  40.826  0.015 
227.72  40.818  0.015 
228.82  40.812  0.015 
230.89  40.808  0.015 
231.85  40.801  0.015 
232.93  40.799  0.015 
235.79  40.792  0.015 
236.83  40.788  0.015 
238.12  40.774  0.015 
240.03  40.765  0.015 
240.88  40.778  0.015 
246.07  40.749  0.015 
246.68  40.755  0.015 
247.13  40.743  0.015 
248.76  40.748  0.015 
249.67  40.746  0.015 
250.77  40.738  0.015 
251.71  40.738  0.015 
252.75  40.737  0.015 
253.75  40.733  0.015 
254.06  40.722  0.015 
254.82  40.726  0.015 
255.75  40.723  0.015 
256.68  40.720  0.015 
257.10  40.703  0.015 
257.89  40.714  0.015 
258.79  40.726  0.015 
259.82  40.715  0.015 
260.66  40.708  0.015 
260.94  40.697  0.015 
263.59  40.694  0.015 
264.60  40.694  0.015 
265.68  40.688  0.015 
266.64  40.686  0.015 
268.00  40.670  0.015 
268.74  40.678  0.015 
269.57  40.682  0.015 
270.69  40.673  0.015 
271.78  40.667  0.015 
272.09  40.655  0.015 
272.76  40.664  0.015 
273.60  40.661  0.015 
273.78  40.660  0.015 
