"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
45.250 7.181 0.074 1.440 0.025 3930374964622314701861177211280735288164352.000 35463702066538275323853898708056910331904.000
46.257 7.062 0.072 1.470 0.026 3828315151317223142546347484384292683907072.000 33442934576431653176028941725070748811264.000
47.265 6.914 0.070 1.511 0.027 3714775834665539860944443861467836364881920.000 31173634765872337984801691707116240240640.000
48.273 6.827 0.069 1.529 0.028 3620360887646246423519422454313000233861120.000 29795145830427350222933193001507837968384.000
49.281 6.697 0.068 1.568 0.029 3522423781896584459581093139879693268287488.000 28082830126803984800316916714107138211840.000
50.288 6.616 0.067 1.587 0.029 3437372342205290911633358978882216132608000.000 26992613835364871356446091285575860486144.000
51.296 6.524 0.066 1.612 0.030 3355114919759972774843965170271979229413376.000 25915338160456034471969356972488105394176.000
52.304 6.439 0.065 1.637 0.031 3281472195828111567714069634968754388467712.000 25063859339363036408121251333801236234240.000
53.311 6.358 0.065 1.661 0.032 3211138629564609396335950774897460719386624.000 24327457930562471289074440606754564734976.000
54.319 6.279 0.064 1.685 0.033 3144337512530039541635875936053447035453440.000 23694888337627936323420457589983378669568.000
55.327 6.204 0.063 1.709 0.034 3082729714013319183068825867347952228368384.000 23179616587560079967361362994744858247168.000
56.335 6.135 0.063 1.731 0.035 3024563721643460315434838271673826585608192.000 22776517336042933723862286096287607554048.000
57.342 6.147 0.065 1.714 0.035 2989604108514129998833217435957454146895872.000 22916600779972465740886485350683682799616.000
58.350 6.176 0.067 1.688 0.035 2955288979199271676426003923601673376759808.000 23137165624325671564053158443157515403264.000
59.358 6.209 0.069 1.661 0.035 2922444314357839199318075900832692725350400.000 23411060680781240972115642423383192240128.000
60.365 6.242 0.071 1.634 0.035 2890211693946547445203642410831933880664064.000 23718064180842553540916164472176029728768.000
61.373 6.245 0.072 1.622 0.036 2851483777572707263302521151474415186214912.000 23849023361180039435707536435018016489472.000
62.381 6.261 0.074 1.607 0.036 2826760010104513537839570565353413025988608.000 24110923550382484073417432403382112354304.000
63.389 6.311 0.076 1.567 0.036 2774152232172275199920230130659807931138048.000 24393752113951394193257457412394532732928.000
64.396 6.462 0.081 1.451 0.034 2615282501100084699863272198592754809307136.000 24662296950034127807548748675582259101696.000
65.404 6.643 0.087 1.330 0.031 2453984002620273973320928113348531711901696.000 25321653136774942981701607847139204923392.000
66.412 6.862 0.095 1.208 0.029 2304269364904284626595631434929875722436608.000 26598618874232632097997433784006839631872.000
67.419 7.146 0.106 1.082 0.027 2174109749951452590464110669161342733123584.000 28994650495465877593348824407530916544512.000
68.427 7.202 0.110 1.037 0.027 2061289558061001599574254404199891398033408.000 28801599938375535999027585351737378078720.000
69.435 6.543 0.092 1.240 0.032 2008160603026898598222546715397418987290624.000 21694070774123374256855489628845016875008.000
70.442 6.033 0.078 1.466 0.037 2028908089563019783037626791371699220643840.000 19045618291558833102498837787145597353984.000
71.450 5.705 0.070 1.669 0.042 2102024104654766179262335045072283804631040.000 19488414379527673828940376130054608912384.000
72.458 5.450 0.065 1.854 0.047 2160253088332515261401810065845111882776576.000 21012194668965624690290167871547111374848.000
73.466 5.417 0.065 1.867 0.048 2138161053512282239124217886999448028971008.000 21330807011409381770361812468532280033280.000
74.473 5.385 0.065 1.876 0.049 2109782087926397913964548081851265733099520.000 21540564072773424645276274287608502157312.000
75.481 5.384 0.065 1.853 0.049 2056044909237482863552897602438899081150464.000 21277889898935813093043933678434470854656.000
76.489 5.386 0.066 1.826 0.049 2000088233090558963580089415574316499599360.000 20976113330344658533994184562335939559424.000
77.496 5.420 0.068 1.775 0.048 1937712229875005579727409125569518987378688.000 20448308552676809434285923270508746375168.000
78.504 5.552 0.075 1.655 0.047 1854436239356426615994520279858946890530816.000 19501670601543930349179961338484993556480.000
79.512 5.547 0.076 1.649 0.047 1835062659367595385863075404041344799211520.000 19620805249012509125436176255609343049728.000
80.520 5.632 0.079 1.567 0.046 1761672339099607129600455898901826043379712.000 18928720935311548952086533750736998629376.000
81.527 5.447 0.085 1.673 0.057 1693610558358335055819008659299714377711616.000 20795262351424446120179126742531165913088.000
82.535 5.508 0.089 1.611 0.056 1592154338369927031383145102912541515841536.000 19408537180114554970524334064047090565120.000
83.543 5.559 0.091 1.556 0.055 1503221283687854991292870533824660352532480.000 18305248012735449913534046332532610301952.000
84.550 5.572 0.093 1.521 0.055 1419695785076657552213417829713338035077120.000 17438802898898959421308495181240971821056.000
85.558 5.584 0.095 1.489 0.054 1348018458192253285528163369411785261056000.000 16715822286913165304102580581254859587584.000
86.566 5.610 0.098 1.439 0.054 1259694774254571517866197586806185954115584.000 15746716518593262165171691459880423522304.000
87.574 5.632 0.101 1.403 0.053 1203119009973689397014855793893692573483008.000 15193384953944471374401415684804514414592.000
88.581 5.650 0.103 1.372 0.053 1156154753251200110355054554761133526351872.000 14770005140358773785414391393802925375488.000
89.589 5.303 0.105 1.529 0.066 1057050550158861760198148010877585746558976.000 14761630739159666951928287380760738922496.000
90.597 2.500 0.000 5.879 0.040 1010366496057935214174371597120193190428672.000 14248661311770426220678157103314698764288.000
