"Time (MJD)" GAIA/GAIA0.G GAIA/GAIA0.G_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.w PAN-STARRS/PS1.w_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
168.000 -15.560 -0.148 -16.378 -0.052 -16.433 -0.049 -16.492 -0.047 -16.582 -0.053 -16.565 -0.071 -16.473 -0.168 5.369 0.450 1.366 0.250 42.043 41.739
169.000 -15.546 -0.151 -16.366 -0.052 -16.421 -0.049 -16.480 -0.047 -16.571 -0.054 -16.553 -0.071 -16.456 -0.172 5.375 0.452 1.355 0.249 42.038 41.736
170.000 -15.532 -0.153 -16.354 -0.052 -16.409 -0.049 -16.468 -0.047 -16.559 -0.055 -16.540 -0.071 -16.439 -0.176 5.382 0.455 1.344 0.248 42.034 41.733
171.000 -15.519 -0.156 -16.341 -0.052 -16.396 -0.049 -16.457 -0.048 -16.547 -0.055 -16.528 -0.072 -16.421 -0.181 5.389 0.458 1.333 0.247 42.029 41.730
172.000 -15.505 -0.159 -16.329 -0.052 -16.384 -0.049 -16.445 -0.048 -16.536 -0.056 -16.515 -0.072 -16.404 -0.185 5.397 0.461 1.322 0.246 42.024 41.727
173.000 -15.491 -0.162 -16.317 -0.051 -16.372 -0.048 -16.433 -0.048 -16.524 -0.056 -16.503 -0.072 -16.386 -0.190 5.407 0.464 1.310 0.245 42.019 41.724
174.000 -15.478 -0.166 -16.304 -0.051 -16.360 -0.048 -16.421 -0.048 -16.512 -0.057 -16.490 -0.072 -16.368 -0.195 5.417 0.467 1.298 0.243 42.014 41.721
175.000 -15.464 -0.169 -16.292 -0.051 -16.348 -0.048 -16.408 -0.047 -16.500 -0.057 -16.477 -0.073 -16.350 -0.200 5.428 0.470 1.285 0.241 42.009 41.718
176.000 -15.451 -0.173 -16.279 -0.050 -16.335 -0.047 -16.396 -0.047 -16.488 -0.058 -16.464 -0.073 -16.331 -0.206 5.440 0.473 1.272 0.240 42.004 41.714
177.000 -15.437 -0.176 -16.267 -0.049 -16.323 -0.046 -16.384 -0.047 -16.476 -0.058 -16.451 -0.073 -16.313 -0.211 5.453 0.475 1.259 0.237 42.000 41.710
178.000 -15.424 -0.180 -16.254 -0.048 -16.311 -0.045 -16.372 -0.046 -16.464 -0.058 -16.438 -0.073 -16.294 -0.216 5.468 0.478 1.246 0.235 41.995 41.706
179.000 -15.411 -0.184 -16.242 -0.047 -16.298 -0.044 -16.359 -0.045 -16.452 -0.058 -16.425 -0.073 -16.275 -0.222 5.483 0.480 1.232 0.233 41.990 41.702
180.000 -15.397 -0.188 -16.229 -0.046 -16.285 -0.043 -16.347 -0.044 -16.440 -0.058 -16.411 -0.073 -16.256 -0.227 5.500 0.482 1.217 0.230 41.985 41.697
181.000 -15.384 -0.193 -16.216 -0.045 -16.273 -0.042 -16.334 -0.043 -16.427 -0.058 -16.398 -0.073 -16.237 -0.233 5.517 0.484 1.203 0.227 41.980 41.692
182.000 -15.370 -0.197 -16.203 -0.044 -16.260 -0.040 -16.322 -0.042 -16.415 -0.058 -16.384 -0.073 -16.217 -0.239 5.536 0.486 1.188 0.223 41.975 41.686
183.000 -15.357 -0.202 -16.190 -0.043 -16.247 -0.039 -16.309 -0.041 -16.402 -0.057 -16.370 -0.072 -16.197 -0.245 5.555 0.487 1.173 0.220 41.970 41.680
184.000 -15.344 -0.207 -16.177 -0.042 -16.234 -0.038 -16.296 -0.040 -16.389 -0.057 -16.356 -0.072 -16.178 -0.251 5.574 0.489 1.158 0.216 41.965 41.674
185.000 -15.330 -0.212 -16.164 -0.042 -16.220 -0.037 -16.282 -0.039 -16.375 -0.057 -16.341 -0.072 -16.157 -0.257 5.594 0.490 1.142 0.213 41.959 41.668
186.000 -15.316 -0.218 -16.150 -0.042 -16.207 -0.037 -16.269 -0.039 -16.362 -0.056 -16.327 -0.072 -16.137 -0.263 5.614 0.492 1.127 0.209 41.954 41.662
187.000 -15.303 -0.224 -16.136 -0.043 -16.193 -0.038 -16.255 -0.039 -16.348 -0.056 -16.312 -0.071 -16.116 -0.269 5.635 0.495 1.111 0.206 41.948 41.656
188.000 -15.289 -0.231 -16.122 -0.045 -16.179 -0.039 -16.241 -0.040 -16.335 -0.057 -16.297 -0.071 -16.096 -0.276 5.656 0.499 1.095 0.203 41.942 41.651
189.000 -15.275 -0.238 -16.108 -0.048 -16.165 -0.042 -16.227 -0.042 -16.320 -0.057 -16.281 -0.071 -16.074 -0.282 5.676 0.504 1.080 0.200 41.936 41.646
190.000 -15.261 -0.245 -16.093 -0.052 -16.150 -0.045 -16.213 -0.045 -16.306 -0.059 -16.266 -0.072 -16.053 -0.289 5.695 0.510 1.064 0.197 41.929 41.641
191.000 -15.246 -0.253 -16.079 -0.057 -16.136 -0.050 -16.198 -0.049 -16.291 -0.061 -16.250 -0.073 -16.032 -0.295 5.711 0.517 1.050 0.196 41.922 41.637
192.000 -15.232 -0.261 -16.064 -0.063 -16.121 -0.056 -16.183 -0.054 -16.276 -0.064 -16.234 -0.074 -16.010 -0.302 5.724 0.524 1.036 0.194 41.915 41.634
193.000 -15.217 -0.270 -16.048 -0.070 -16.105 -0.063 -16.168 -0.060 -16.261 -0.067 -16.217 -0.076 -15.987 -0.310 5.733 0.532 1.024 0.194 41.907 41.631
194.000 -15.202 -0.280 -16.033 -0.079 -16.090 -0.071 -16.152 -0.067 -16.245 -0.072 -16.200 -0.079 -15.965 -0.317 5.737 0.541 1.013 0.194 41.899 41.629
195.000 -15.187 -0.290 -16.017 -0.088 -16.074 -0.080 -16.136 -0.075 -16.229 -0.078 -16.183 -0.082 -15.942 -0.325 5.738 0.549 1.004 0.194 41.891 41.627
196.000 -15.171 -0.301 -16.000 -0.098 -16.057 -0.090 -16.119 -0.084 -16.212 -0.084 -16.165 -0.087 -15.919 -0.332 5.736 0.558 0.995 0.195 41.883 41.625
197.000 -15.155 -0.313 -15.983 -0.109 -16.040 -0.100 -16.103 -0.095 -16.195 -0.092 -16.147 -0.093 -15.896 -0.341 5.732 0.567 0.986 0.196 41.874 41.623
198.000 -15.139 -0.325 -15.966 -0.120 -16.023 -0.112 -16.085 -0.106 -16.178 -0.101 -16.129 -0.099 -15.872 -0.349 5.728 0.576 0.978 0.198 41.865 41.621
