"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err Swift/UVOT.B_fil Swift/UVOT.B_fil_err Swift/UVOT.UVM2_fil Swift/UVOT.UVM2_fil_err Swift/UVOT.UVW1_fil Swift/UVOT.UVW1_fil_err Swift/UVOT.UVW2_fil Swift/UVOT.UVW2_fil_err Swift/UVOT.U_fil Swift/UVOT.U_fil_err Swift/UVOT.V_fil Swift/UVOT.V_fil_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
88.000 -16.838 -3.332 -16.119 -3.313 -14.769 -3.494 -14.691 -3.747 -15.892 -2.921 -15.090 -1.912 -14.795 -1.806 -16.560 -3.079 -16.521 -0.870 -16.731 -1.129 -14.545 -1.575 -12.527 -3.498 37.163 55.908 0.051 0.058 42.553 43.362
89.000 -16.655 -3.451 -15.943 -3.433 -14.596 -3.610 -14.542 -3.854 -15.761 -3.029 -15.010 -2.034 -14.724 -1.930 -16.445 -3.167 -16.522 -0.908 -16.710 -1.184 -14.416 -1.696 -12.382 -3.612 37.497 58.081 0.047 0.055 42.493 43.314
90.000 -16.470 -3.568 -15.765 -3.551 -14.426 -3.722 -14.394 -3.957 -15.630 -3.135 -14.927 -2.158 -14.651 -2.056 -16.328 -3.252 -16.521 -0.941 -16.687 -1.237 -14.286 -1.819 -12.243 -3.722 37.524 59.352 0.043 0.052 42.423 43.254
91.000 -16.281 -3.681 -15.587 -3.665 -14.259 -3.830 -14.248 -4.056 -15.498 -3.241 -14.842 -2.283 -14.576 -2.183 -16.210 -3.336 -16.517 -0.971 -16.661 -1.288 -14.156 -1.944 -12.109 -3.828 37.259 59.652 0.040 0.050 42.347 43.184
92.000 -16.091 -3.791 -15.408 -3.775 -14.095 -3.934 -14.104 -4.151 -15.366 -3.344 -14.756 -2.409 -14.500 -2.311 -16.091 -3.418 -16.510 -0.997 -16.632 -1.335 -14.026 -2.072 -11.981 -3.931 36.724 58.978 0.038 0.047 42.265 43.103
93.000 -15.900 -3.898 -15.229 -3.882 -13.934 -4.035 -13.963 -4.242 -15.234 -3.447 -14.667 -2.536 -14.421 -2.440 -15.971 -3.497 -16.500 -1.017 -16.599 -1.379 -13.897 -2.201 -11.859 -4.029 35.939 57.380 0.036 0.045 42.177 43.014
94.000 -15.707 -4.000 -15.050 -3.985 -13.777 -4.131 -13.824 -4.328 -15.101 -3.547 -14.577 -2.662 -14.340 -2.569 -15.850 -3.574 -16.485 -1.031 -16.563 -1.420 -13.768 -2.330 -11.744 -4.124 34.954 55.036 0.034 0.043 42.086 42.918
95.000 -15.515 -4.098 -14.873 -4.084 -13.625 -4.224 -13.689 -4.410 -14.969 -3.645 -14.485 -2.788 -14.257 -2.698 -15.729 -3.649 -16.467 -1.040 -16.523 -1.456 -13.641 -2.460 -11.635 -4.215 33.795 52.079 0.032 0.041 41.992 42.815
96.000 -15.322 -4.192 -14.697 -4.179 -13.477 -4.312 -13.556 -4.488 -14.836 -3.741 -14.391 -2.913 -14.173 -2.826 -15.607 -3.722 -16.444 -1.042 -16.479 -1.489 -13.515 -2.590 -11.532 -4.301 32.507 48.718 0.031 0.040 41.895 42.708
97.000 -15.131 -4.282 -14.524 -4.269 -13.333 -4.395 -13.426 -4.561 -14.705 -3.834 -14.296 -3.036 -14.087 -2.953 -15.486 -3.792 -16.416 -1.037 -16.431 -1.517 -13.391 -2.720 -11.435 -4.383 31.166 45.257 0.031 0.038 41.799 42.600
98.000 -14.942 -4.367 -14.353 -4.355 -13.193 -4.474 -13.300 -4.630 -14.573 -3.925 -14.200 -3.158 -14.000 -3.078 -15.364 -3.859 -16.384 -1.025 -16.379 -1.541 -13.269 -2.849 -11.345 -4.461 29.754 41.678 0.030 0.037 41.702 42.490
99.000 -14.754 -4.448 -14.184 -4.437 -13.059 -4.549 -13.177 -4.695 -14.442 -4.013 -14.102 -3.278 -13.912 -3.202 -15.242 -3.924 -16.347 -1.006 -16.323 -1.560 -13.149 -2.977 -11.261 -4.534 28.310 38.150 0.030 0.036 41.607 42.379
100.000 -14.570 -4.525 -14.019 -4.514 -12.929 -4.619 -13.058 -4.756 -14.313 -4.098 -14.003 -3.396 -13.822 -3.323 -15.120 -3.986 -16.304 -0.979 -16.263 -1.576 -13.031 -3.103 -11.183 -4.604 26.865 34.786 0.030 0.036 41.512 42.270
101.000 -14.388 -4.597 -13.857 -4.587 -12.805 -4.685 -12.942 -4.812 -14.184 -4.180 -13.904 -3.511 -13.731 -3.441 -14.999 -4.045 -16.257 -0.944 -16.198 -1.588 -12.917 -3.227 -11.112 -4.669 25.438 31.658 0.030 0.036 41.421 42.163
102.000 -14.209 -4.664 -13.700 -4.655 -12.685 -4.747 -12.830 -4.864 -14.056 -4.259 -13.804 -3.624 -13.639 -3.557 -14.878 -4.102 -16.204 -0.902 -16.129 -1.596 -12.805 -3.349 -11.046 -4.730 24.039 28.799 0.030 0.036 41.332 42.061
103.000 -14.035 -4.728 -13.546 -4.719 -12.570 -4.804 -12.722 -4.913 -13.930 -4.335 -13.703 -3.733 -13.547 -3.670 -14.758 -4.156 -16.146 -0.852 -16.056 -1.601 -12.696 -3.468 -10.986 -4.787 22.672 26.218 0.031 0.037 41.247 41.964
104.000 -13.865 -4.787 -13.397 -4.779 -12.460 -4.858 -12.617 -4.958 -13.805 -4.407 -13.603 -3.839 -13.455 -3.779 -14.638 -4.207 -16.083 -0.793 -15.979 -1.604 -12.591 -3.584 -10.932 -4.840 21.763 24.995 0.031 0.038 41.181 41.898
105.000 -13.699 -4.842 -13.252 -4.834 -12.356 -4.907 -12.516 -4.999 -13.682 -4.477 -13.502 -3.941 -13.362 -3.884 -14.519 -4.256 -16.015 -0.728 -15.898 -1.605 -12.489 -3.697 -10.883 -4.889 20.586 23.239 0.032 0.040 41.110 41.823
106.000 -13.538 -4.893 -13.112 -4.886 -12.256 -4.953 -12.420 -5.037 -13.560 -4.543 -13.401 -4.039 -13.269 -3.986 -14.401 -4.303 -15.943 -0.655 -15.813 -1.605 -12.390 -3.806 -10.839 -4.935 19.211 21.154 0.034 0.042 41.037 41.743
107.000 -13.382 -4.940 -12.977 -4.933 -12.161 -4.995 -12.327 -5.071 -13.441 -4.606 -13.301 -4.134 -13.177 -4.083 -14.285 -4.347 -15.865 -0.576 -15.725 -1.606 -12.295 -3.911 -10.801 -4.977 17.642 18.787 0.037 0.046 40.966 41.661
108.000 -13.231 -4.983 -12.847 -4.977 -12.070 -5.033 -12.238 -5.103 -13.324 -4.665 -13.202 -4.224 -13.085 -4.177 -14.169 -4.389 -15.783 -0.492 -15.633 -1.607 -12.204 -4.013 -10.767 -5.016 15.974 16.370 0.042 0.053 40.903 41.586
109.000 -13.086 -5.023 -12.721 -5.018 -11.985 -5.069 -12.152 -5.132 -13.209 -4.722 -13.103 -4.310 -12.993 -4.266 -14.055 -4.428 -15.696 -0.405 -15.537 -1.611 -12.116 -4.110 -10.737 -5.052 14.562 14.503 0.048 0.061 40.872 41.546
110.000 -12.946 -5.059 -12.602 -5.054 -11.904 -5.101 -12.071 -5.158 -13.096 -4.775 -13.006 -4.392 -12.902 -4.351 -13.943 -4.466 -15.605 -0.321 -15.439 -1.619 -12.033 -4.203 -10.711 -5.084 13.216 12.484 0.059 0.072 40.877 41.531
111.000 -12.812 -5.092 -12.487 -5.088 -11.828 -5.130 -11.993 -5.181 -12.987 -4.825 -12.910 -4.470 -12.813 -4.432 -13.832 -4.502 -15.511 -0.252 -15.338 -1.631 -11.953 -4.292 -10.689 -5.114 12.141 10.436 0.074 0.084 40.927 41.541
112.000 -12.683 -5.122 -12.377 -5.119 -11.755 -5.156 -11.919 -5.202 -12.879 -4.872 -12.815 -4.544 -12.724 -4.508 -13.722 -4.535 -15.413 -0.224 -15.234 -1.649 -11.877 -4.376 -10.671 -5.141 11.564 9.059 0.084 0.088 40.956 41.532
113.000 -12.560 -5.150 -12.273 -5.146 -11.688 -5.180 -11.848 -5.221 -12.775 -4.915 -12.722 -4.613 -12.637 -4.580 -13.615 -4.568 -15.311 -0.260 -15.128 -1.673 -11.804 -4.456 -10.656 -5.166 11.592 8.948 0.077 0.080 40.878 41.450
