"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
24.700 -17.403 -0.250 -17.968 -0.099 -18.448 -0.072 -18.426 -0.119 4.682 0.240 3.924 0.449 42.722 nan
24.800 -17.397 -0.251 -17.963 -0.101 -18.444 -0.073 -18.423 -0.120 4.667 0.245 3.950 0.463 42.722 41.417
24.900 -17.390 -0.252 -17.957 -0.102 -18.440 -0.073 -18.420 -0.120 4.666 0.245 3.938 0.462 42.719 40.955
25.000 -17.384 -0.253 -17.951 -0.103 -18.436 -0.074 -18.416 -0.121 4.667 0.242 3.932 0.456 42.718 41.253
25.100 -17.378 -0.254 -17.945 -0.104 -18.432 -0.075 -18.413 -0.121 4.652 0.248 3.953 0.468 42.717 40.707
25.200 -17.372 -0.255 -17.940 -0.105 -18.429 -0.075 -18.410 -0.122 4.652 0.252 3.945 0.479 42.715 41.143
25.300 -17.366 -0.256 -17.934 -0.106 -18.425 -0.076 -18.407 -0.122 4.657 0.248 3.929 0.469 42.714 41.321
25.400 -17.361 -0.258 -17.929 -0.107 -18.421 -0.077 -18.404 -0.123 4.642 0.251 3.949 0.478 42.713 nan
25.500 -17.355 -0.259 -17.923 -0.108 -18.417 -0.077 -18.401 -0.123 4.645 0.256 3.932 0.482 42.710 41.275
25.600 -17.349 -0.260 -17.918 -0.109 -18.413 -0.078 -18.398 -0.124 4.638 0.254 3.937 0.487 42.708 41.131
25.700 -17.343 -0.261 -17.913 -0.111 -18.410 -0.079 -18.395 -0.124 4.619 0.252 3.966 0.486 42.708 nan
25.800 -17.338 -0.262 -17.908 -0.112 -18.406 -0.079 -18.392 -0.125 4.627 0.251 3.947 0.483 42.706 nan
25.900 -17.332 -0.263 -17.903 -0.113 -18.403 -0.080 -18.389 -0.125 4.629 0.260 3.931 0.499 42.704 nan
26.000 -17.327 -0.264 -17.898 -0.114 -18.399 -0.081 -18.386 -0.126 4.630 0.257 3.924 0.485 42.703 nan
26.100 -17.322 -0.266 -17.893 -0.115 -18.396 -0.082 -18.383 -0.126 4.628 0.268 3.922 0.502 42.701 nan
26.200 -17.317 -0.267 -17.888 -0.116 -18.392 -0.082 -18.381 -0.127 4.616 0.262 3.934 0.500 42.700 41.142
26.300 -17.311 -0.268 -17.883 -0.118 -18.389 -0.083 -18.378 -0.127 4.612 0.261 3.938 0.505 42.699 nan
26.400 -17.306 -0.269 -17.879 -0.119 -18.386 -0.084 -18.376 -0.128 4.621 0.265 3.911 0.503 42.697 nan
26.500 -17.302 -0.270 -17.874 -0.120 -18.382 -0.085 -18.373 -0.129 4.616 0.270 3.918 0.515 42.696 41.315
26.600 -17.297 -0.271 -17.870 -0.121 -18.379 -0.086 -18.371 -0.129 4.600 0.258 3.934 0.495 42.694 nan
26.700 -17.292 -0.273 -17.865 -0.123 -18.376 -0.087 -18.368 -0.130 4.608 0.265 3.916 0.510 42.693 nan
26.800 -17.287 -0.274 -17.861 -0.124 -18.373 -0.088 -18.366 -0.130 4.602 0.265 3.922 0.514 42.692 41.196
26.900 -17.283 -0.275 -17.857 -0.125 -18.370 -0.088 -18.364 -0.131 4.606 0.271 3.910 0.517 42.691 41.319
27.000 -17.279 -0.276 -17.853 -0.126 -18.367 -0.089 -18.362 -0.132 4.603 0.271 3.912 0.525 42.690 41.367
27.100 -17.274 -0.277 -17.849 -0.128 -18.365 -0.090 -18.360 -0.132 4.592 0.272 3.923 0.525 42.688 41.185
27.200 -17.270 -0.279 -17.845 -0.129 -18.362 -0.091 -18.358 -0.133 4.579 0.276 3.947 0.533 42.689 41.299
27.300 -17.266 -0.280 -17.841 -0.130 -18.359 -0.092 -18.356 -0.134 4.588 0.279 3.920 0.534 42.686 41.297
27.400 -17.262 -0.281 -17.838 -0.132 -18.357 -0.093 -18.355 -0.134 4.597 0.283 3.900 0.545 42.685 41.419
27.500 -17.258 -0.282 -17.834 -0.133 -18.354 -0.094 -18.353 -0.135 4.586 0.280 3.918 0.536 42.685 41.149
27.600 -17.254 -0.283 -17.831 -0.134 -18.352 -0.095 -18.351 -0.136 4.564 0.280 3.951 0.546 42.683 nan
27.700 -17.251 -0.285 -17.827 -0.136 -18.349 -0.096 -18.350 -0.137 4.592 0.282 3.893 0.539 42.681 41.216
27.800 -17.247 -0.286 -17.824 -0.137 -18.347 -0.097 -18.348 -0.138 4.573 0.281 3.927 0.551 42.682 nan
27.900 -17.243 -0.287 -17.821 -0.138 -18.345 -0.098 -18.347 -0.138 4.579 0.284 3.908 0.553 42.680 nan
28.000 -17.240 -0.288 -17.818 -0.140 -18.342 -0.100 -18.345 -0.139 4.570 0.289 3.923 0.564 42.680 nan
28.100 -17.237 -0.289 -17.815 -0.141 -18.340 -0.101 -18.344 -0.140 4.561 0.291 3.933 0.572 42.679 41.387
28.200 -17.233 -0.291 -17.812 -0.142 -18.338 -0.102 -18.342 -0.141 4.561 0.294 3.930 0.579 42.678 41.183
28.300 -17.230 -0.292 -17.809 -0.144 -18.336 -0.103 -18.341 -0.142 4.571 0.291 3.905 0.565 42.676 nan
28.400 -17.227 -0.293 -17.806 -0.145 -18.334 -0.104 -18.340 -0.143 4.567 0.293 3.905 0.569 42.675 nan
28.500 -17.223 -0.294 -17.803 -0.147 -18.331 -0.105 -18.338 -0.143 4.553 0.296 3.931 0.584 42.675 41.168
28.600 -17.220 -0.296 -17.800 -0.148 -18.329 -0.106 -18.337 -0.144 4.564 0.297 3.909 0.580 42.674 nan
28.700 -17.217 -0.297 -17.797 -0.149 -18.327 -0.108 -18.336 -0.145 4.551 0.298 3.928 0.588 42.673 nan
28.800 -17.214 -0.298 -17.794 -0.151 -18.325 -0.109 -18.334 -0.146 4.556 0.310 3.916 0.605 42.673 41.485
28.900 -17.211 -0.299 -17.791 -0.152 -18.323 -0.110 -18.333 -0.147 4.553 0.305 3.911 0.596 42.671 nan
29.000 -17.208 -0.301 -17.789 -0.154 -18.320 -0.111 -18.332 -0.148 4.541 0.308 3.931 0.606 42.671 nan
29.100 -17.205 -0.302 -17.786 -0.155 -18.318 -0.112 -18.330 -0.149 4.542 0.306 3.923 0.602 42.669 nan
29.200 -17.202 -0.303 -17.783 -0.157 -18.316 -0.114 -18.329 -0.150 4.563 0.315 3.883 0.604 42.668 nan
29.300 -17.199 -0.304 -17.780 -0.158 -18.314 -0.115 -18.327 -0.151 4.557 0.316 3.897 0.615 42.669 nan
29.400 -17.196 -0.306 -17.778 -0.160 -18.312 -0.116 -18.326 -0.152 4.553 0.314 3.894 0.614 42.667 40.866
29.500 -17.193 -0.307 -17.775 -0.161 -18.309 -0.118 -18.325 -0.153 4.540 0.322 3.917 0.634 42.667 nan
29.600 -17.190 -0.308 -17.772 -0.163 -18.307 -0.119 -18.323 -0.155 4.553 0.326 3.882 0.634 42.664 41.440
29.700 -17.187 -0.309 -17.769 -0.164 -18.305 -0.120 -18.322 -0.156 4.540 0.322 3.906 0.628 42.665 nan
29.800 -17.184 -0.311 -17.767 -0.166 -18.302 -0.121 -18.320 -0.157 4.541 0.321 3.902 0.635 42.664 nan
29.900 -17.181 -0.312 -17.764 -0.167 -18.300 -0.123 -18.319 -0.158 4.522 0.320 3.927 0.639 42.662 nan
