"Time (MJD)" GAIA/GAIA0.G GAIA/GAIA0.G_err Misc/Atlas.cyan Misc/Atlas.cyan_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.w PAN-STARRS/PS1.w_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
121.000 -9.761 -4.296 -9.768 -4.294 -9.795 -4.287 -9.819 -4.280 -9.820 -4.280 -9.819 -4.280 -9.815 -4.281 -9.805 -4.285 -9.740 -4.304 -9.582 -4.345 8.963 0.108 0.026 0.000 39.496 38.271
122.000 -10.400 -4.045 -10.412 -4.040 -10.450 -4.022 -10.484 -4.006 -10.485 -4.005 -10.483 -4.006 -10.478 -4.009 -10.463 -4.016 -10.364 -4.063 -10.131 -4.161 9.350 0.336 0.033 0.002 39.774 39.020
123.000 -11.222 -3.598 -11.237 -3.587 -11.292 -3.548 -11.339 -3.513 -11.340 -3.512 -11.338 -3.513 -11.331 -3.519 -11.308 -3.536 -11.169 -3.635 -10.838 -3.843 9.883 0.695 0.045 0.004 40.133 39.664
124.000 -12.132 -2.933 -12.152 -2.911 -12.225 -2.831 -12.287 -2.760 -12.289 -2.758 -12.285 -2.762 -12.276 -2.773 -12.246 -2.807 -12.061 -3.005 -11.623 -3.396 10.453 1.167 0.063 0.009 40.533 40.259
125.000 -13.014 -2.126 -13.040 -2.085 -13.129 -1.932 -13.206 -1.787 -13.209 -1.783 -13.205 -1.790 -13.193 -1.814 -13.156 -1.883 -12.927 -2.260 -12.385 -2.915 10.666 1.580 0.094 0.018 40.907 40.755
126.000 -13.758 -1.440 -13.787 -1.368 -13.891 -1.077 -13.981 -0.733 -13.983 -0.721 -13.979 -0.742 -13.965 -0.806 -13.922 -0.972 -13.656 -1.659 -13.026 -2.583 9.958 1.561 0.149 0.031 41.192 41.070
127.000 -14.282 -1.284 -14.315 -1.201 -14.429 -0.845 -14.527 -0.276 -14.530 -0.242 -14.525 -0.301 -14.510 -0.438 -14.463 -0.703 -14.171 -1.531 -13.479 -2.521 9.647 1.566 0.204 0.045 41.411 41.306
128.000 -14.558 -1.497 -14.592 -1.429 -14.711 -1.156 -14.814 -0.848 -14.817 -0.838 -14.812 -0.856 -14.796 -0.912 -14.747 -1.060 -14.441 -1.707 -13.717 -2.607 10.652 2.167 0.197 0.051 41.552 41.537
129.000 -14.592 -1.562 -14.626 -1.497 -14.746 -1.243 -14.850 -0.966 -14.852 -0.958 -14.847 -0.973 -14.831 -1.022 -14.782 -1.155 -14.475 -1.762 -13.746 -2.635 10.902 2.310 0.193 0.052 41.575 41.576
130.000 -14.406 -1.377 -14.440 -1.301 -14.556 -0.987 -14.657 -0.586 -14.659 -0.571 -14.654 -0.598 -14.639 -0.677 -14.591 -0.870 -14.293 -1.606 -13.586 -2.557 10.097 1.838 0.200 0.048 41.471 41.412
131.000 -14.020 -1.280 -14.052 -1.197 -14.161 -0.839 -14.254 -0.255 -14.257 -0.218 -14.252 -0.282 -14.238 -0.426 -14.193 -0.696 -13.914 -1.527 -13.253 -2.520 9.529 1.431 0.184 0.038 41.297 41.160
