"Time (MJD)" LasCumbres/LasCumbres.SDSS_gp LasCumbres/LasCumbres.SDSS_gp_err LasCumbres/LasCumbres.SDSS_ip LasCumbres/LasCumbres.SDSS_ip_err LasCumbres/LasCumbres.SDSS_rp LasCumbres/LasCumbres.SDSS_rp_err LasCumbres/LasCumbres.SDSS_up LasCumbres/LasCumbres.SDSS_up_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err SLOAN/SDSS.i SLOAN/SDSS.i_err Swift/UVOT.B Swift/UVOT.B_err Swift/UVOT.U Swift/UVOT.U_err Swift/UVOT.UVM2 Swift/UVOT.UVM2_err Swift/UVOT.UVW1 Swift/UVOT.UVW1_err Swift/UVOT.UVW2 Swift/UVOT.UVW2_err Swift/UVOT.V Swift/UVOT.V_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
89.000 -15.772 -0.083 -16.536 -0.103 -16.168 -0.083 -16.773 -0.083 -11.546 -1.611 -19.718 -0.201 -15.915 -1.148 -11.546 -1.611 -12.022 -1.606 -18.377 -0.487 -16.518 -1.146 -12.165 -1.606 -11.545 -1.611 -11.544 -1.611 -16.415 -1.147 -11.672 -1.611 -11.569 -1.611 40.000 62.299 0.032 0.042 42.283 43.112
90.000 -15.768 -0.073 -16.560 -0.104 -16.148 -0.073 -16.766 -0.073 -11.545 -1.611 -19.624 -0.186 -15.307 -1.269 -11.545 -1.611 -11.879 -1.609 -17.886 -0.637 -15.826 -1.268 -11.979 -1.609 -11.544 -1.611 -11.544 -1.611 -15.739 -1.268 -11.627 -1.611 -11.559 -1.611 40.000 62.092 0.032 0.042 42.283 43.111
91.000 -15.731 -0.029 -16.547 -0.071 -16.088 -0.029 -16.714 -0.029 -11.545 -1.611 -19.457 -0.184 -14.725 -1.366 -11.545 -1.611 -11.773 -1.610 -17.328 -0.795 -15.165 -1.365 -11.841 -1.610 -11.544 -1.611 -11.544 -1.611 -15.093 -1.366 -11.597 -1.611 -11.553 -1.611 40.000 31.012 0.048 0.035 42.626 43.162
92.000 -15.650 -0.050 -16.483 -0.002 -15.981 -0.050 -16.608 -0.050 -11.545 -1.611 -19.208 -0.223 -14.185 -1.442 -11.545 -1.611 -11.698 -1.610 -16.725 -0.948 -14.551 -1.441 -11.743 -1.610 -11.544 -1.611 -11.544 -1.611 -14.492 -1.441 -11.577 -1.611 -11.549 -1.611 40.000 20.390 0.069 0.035 42.944 43.302
93.000 -15.519 -0.163 -16.361 -0.103 -15.823 -0.163 -16.442 -0.163 -11.545 -1.611 -18.872 -0.312 -13.697 -1.498 -11.545 -1.611 -11.645 -1.611 -16.100 -1.091 -13.995 -1.497 -11.675 -1.611 -11.544 -1.611 -11.544 -1.611 -13.948 -1.498 -11.564 -1.611 -11.547 -1.611 40.000 121.650 0.021 0.049 41.896 43.012
94.000 -15.338 -0.303 -16.176 -0.238 -15.611 -0.304 -16.212 -0.304 -11.545 -1.611 -18.452 -0.438 -13.266 -1.538 -11.544 -1.611 -11.609 -1.611 -15.475 -1.216 -13.505 -1.538 -11.628 -1.611 -11.544 -1.611 -11.544 -1.611 -13.467 -1.538 -11.556 -1.611 -11.546 -1.611 40.000 125.008 0.017 0.041 41.732 42.858
95.000 -15.108 -0.464 -15.930 -0.395 -15.350 -0.464 -15.924 -0.464 -11.544 -1.611 -17.957 -0.585 -12.896 -1.566 -11.544 -1.611 -11.585 -1.611 -14.871 -1.321 -13.083 -1.566 -11.597 -1.611 -11.544 -1.611 -11.544 -1.611 -13.054 -1.566 -11.551 -1.611 -11.545 -1.611 40.000 117.323 0.015 0.033 41.624 42.721
96.000 -14.835 -0.634 -15.628 -0.566 -15.046 -0.635 -15.584 -0.634 -11.544 -1.611 -17.401 -0.741 -12.585 -1.584 -11.544 -1.611 -11.569 -1.611 -14.306 -1.406 -12.729 -1.584 -11.576 -1.611 -11.544 -1.611 -11.544 -1.611 -12.707 -1.584 -11.548 -1.611 -11.545 -1.611 40.000 97.709 0.014 0.026 41.580 42.598
97.000 -14.530 -0.804 -15.281 -0.739 -14.710 -0.805 -15.205 -0.804 -11.544 -1.611 -16.803 -0.896 -12.330 -1.595 -11.544 -1.611 -11.559 -1.611 -13.792 -1.471 -12.439 -1.595 -11.564 -1.611 -11.544 -1.611 -11.544 -1.611 -12.423 -1.595 -11.547 -1.611 -11.545 -1.611 40.000 78.434 0.014 0.021 41.561 42.484
98.000 -14.203 -0.966 -14.900 -0.906 -14.355 -0.966 -14.801 -0.966 -11.544 -1.611 -16.182 -1.042 -12.126 -1.602 -11.544 -1.611 -11.553 -1.611 -13.339 -1.519 -12.207 -1.602 -11.556 -1.611 -11.544 -1.611 -11.544 -1.611 -12.195 -1.602 -11.546 -1.611 -11.545 -1.611 40.000 61.812 0.014 0.016 41.551 42.371
99.000 -13.867 -1.112 -14.502 -1.059 -13.993 -1.112 -14.386 -1.112 -11.544 -1.611 -15.560 -1.173 -11.967 -1.606 -11.544 -1.611 -11.550 -1.611 -12.948 -1.553 -12.026 -1.606 -11.551 -1.611 -11.544 -1.611 -11.544 -1.611 -12.017 -1.606 -11.545 -1.611 -11.544 -1.611 40.000 47.857 0.014 0.012 41.545 42.253
100.000 -13.534 -1.238 -14.102 -1.193 -13.636 -1.238 -13.977 -1.238 -11.544 -1.611 -14.957 -1.285 -11.845 -1.609 -11.544 -1.611 -11.547 -1.611 -12.622 -1.576 -11.887 -1.609 -11.548 -1.611 -11.544 -1.611 -11.544 -1.611 -11.881 -1.609 -11.545 -1.611 -11.544 -1.611 40.000 36.462 0.014 0.009 41.537 42.128
101.000 -13.215 -1.342 -13.712 -1.306 -13.297 -1.342 -13.586 -1.342 -11.544 -1.611 -14.389 -1.377 -11.755 -1.610 -11.544 -1.611 -11.546 -1.611 -12.354 -1.591 -11.784 -1.610 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 -11.780 -1.610 -11.545 -1.611 -11.544 -1.611 39.043 26.429 0.014 0.007 41.499 41.962
102.000 -12.920 -1.424 -13.346 -1.396 -12.985 -1.424 -13.224 -1.424 -11.544 -1.611 -13.871 -1.449 -11.688 -1.610 -11.544 -1.611 -11.545 -1.611 -12.142 -1.600 -11.708 -1.610 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 -11.705 -1.610 -11.544 -1.611 -11.544 -1.611 35.468 17.000 0.015 0.006 41.379 41.695
103.000 -12.654 -1.486 -13.012 -1.465 -12.704 -1.486 -12.898 -1.486 -11.544 -1.611 -13.410 -1.503 -11.641 -1.611 -11.544 -1.611 -11.545 -1.611 -11.976 -1.605 -11.655 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.653 -1.611 -11.544 -1.611 -11.544 -1.611 23.362 6.005 0.021 0.005 40.962 41.021
104.000 -12.422 -1.530 -12.716 -1.516 -12.460 -1.531 -12.614 -1.531 -11.544 -1.611 -13.011 -1.542 -11.608 -1.611 -11.544 -1.611 -11.545 -1.611 -11.850 -1.608 -11.617 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.616 -1.611 -11.544 -1.611 -11.544 -1.611 20.428 3.727 0.023 0.005 40.831 40.749
105.000 -12.224 -1.561 -12.461 -1.551 -12.252 -1.561 -12.373 -1.561 -11.544 -1.611 -12.675 -1.569 -11.585 -1.611 -11.544 -1.611 -11.545 -1.611 -11.757 -1.609 -11.591 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.590 -1.611 -11.544 -1.611 -11.544 -1.611 18.434 2.502 0.026 0.004 40.735 40.530
106.000 -12.060 -1.582 -12.247 -1.575 -12.081 -1.582 -12.173 -1.582 -11.544 -1.611 -12.399 -1.586 -11.570 -1.611 -11.544 -1.611 -11.544 -1.611 -11.689 -1.610 -11.574 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.573 -1.611 -11.544 -1.611 -11.544 -1.611 17.021 1.799 0.028 0.004 40.661 40.354
107.000 -11.928 -1.594 -12.072 -1.590 -11.943 -1.594 -12.011 -1.594 -11.544 -1.611 -12.177 -1.597 -11.560 -1.611 -11.544 -1.611 -11.544 -1.611 -11.641 -1.611 -11.563 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.562 -1.611 -11.544 -1.611 -11.544 -1.611 15.999 1.385 0.029 0.003 40.604 40.216
108.000 -11.824 -1.602 -11.933 -1.599 -11.835 -1.602 -11.885 -1.602 -11.544 -1.611 -12.004 -1.603 -11.554 -1.611 -11.544 -1.611 -11.544 -1.611 -11.607 -1.611 -11.556 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.555 -1.611 -11.544 -1.611 -11.544 -1.611 15.257 1.139 0.031 0.003 40.561 40.113
109.000 -11.744 -1.606 -11.825 -1.605 -11.751 -1.606 -11.787 -1.606 -11.544 -1.611 -11.871 -1.607 -11.550 -1.611 -11.544 -1.611 -11.544 -1.611 -11.585 -1.611 -11.551 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.551 -1.611 -11.544 -1.611 -11.544 -1.611 14.717 0.997 0.032 0.003 40.528 40.041
110.000 -11.684 -1.609 -11.743 -1.608 -11.689 -1.609 -11.714 -1.609 -11.544 -1.611 -11.772 -1.609 -11.548 -1.611 -11.544 -1.611 -11.544 -1.611 -11.570 -1.611 -11.548 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.548 -1.611 -11.544 -1.611 -11.544 -1.611 14.327 0.915 0.033 0.003 40.503 39.994
111.000 -11.640 -1.610 -11.682 -1.609 -11.643 -1.610 -11.661 -1.610 -11.544 -1.611 -11.700 -1.610 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 -11.560 -1.611 -11.547 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.547 -1.611 -11.544 -1.611 -11.544 -1.611 14.049 0.869 0.033 0.003 40.485 39.964
112.000 -11.609 -1.610 -11.638 -1.610 -11.611 -1.610 -11.622 -1.610 -11.544 -1.611 -11.649 -1.611 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 -11.554 -1.611 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 13.853 0.843 0.034 0.003 40.472 39.945
113.000 -11.587 -1.611 -11.606 -1.611 -11.588 -1.611 -11.596 -1.611 -11.544 -1.611 -11.613 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.550 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 13.718 0.827 0.034 0.003 40.463 39.933
114.000 -11.572 -1.611 -11.585 -1.611 -11.573 -1.611 -11.578 -1.611 -11.544 -1.611 -11.589 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.548 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 13.626 0.818 0.034 0.003 40.457 39.926
115.000 -11.562 -1.611 -11.570 -1.611 -11.562 -1.611 -11.565 -1.611 -11.544 -1.611 -11.572 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.546 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 13.579 0.814 0.034 0.003 40.453 39.922
116.000 -11.555 -1.611 -11.561 -1.611 -11.555 -1.611 -11.557 -1.611 -11.544 -1.611 -11.562 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 13.536 0.811 0.034 0.003 40.451 39.919
117.000 -11.551 -1.611 -11.554 -1.611 -11.551 -1.611 -11.552 -1.611 -11.544 -1.611 -11.555 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.507 0.808 0.034 0.003 40.449 39.917
118.000 -11.548 -1.611 -11.550 -1.611 -11.548 -1.611 -11.549 -1.611 -11.544 -1.611 -11.551 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.487 0.807 0.034 0.003 40.448 39.916
119.000 -11.547 -1.611 -11.548 -1.611 -11.547 -1.611 -11.547 -1.611 -11.544 -1.611 -11.548 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.475 0.806 0.035 0.003 40.447 39.915
120.000 -11.546 -1.611 -11.546 -1.611 -11.546 -1.611 -11.546 -1.611 -11.544 -1.611 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.468 0.805 0.035 0.003 40.446 39.915
121.000 -11.545 -1.611 -11.546 -1.611 -11.545 -1.611 -11.545 -1.611 -11.544 -1.611 -11.546 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.463 0.805 0.035 0.003 40.446 39.914
122.000 -11.545 -1.611 -11.545 -1.611 -11.545 -1.611 -11.545 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.461 0.805 0.035 0.003 40.446 39.914
123.000 -11.545 -1.611 -11.545 -1.611 -11.545 -1.611 -11.545 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.459 0.805 0.035 0.003 40.446 39.914
124.000 -11.545 -1.611 -11.545 -1.611 -11.545 -1.611 -11.545 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.459 0.805 0.035 0.003 40.446 39.914
125.000 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
126.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
127.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
128.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
129.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
130.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
131.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
132.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
133.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
134.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
135.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
136.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
137.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
138.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
139.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
140.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
141.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
142.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
143.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
144.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
145.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
146.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
147.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
148.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
149.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
150.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
151.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
152.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
153.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
154.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
155.000 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.545 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 -11.544 -1.611 13.458 0.804 0.035 0.003 40.446 39.914
