"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
91.798 2.500 0.000 6.323 0.046 42.046 40.206
92.806 2.500 0.000 6.200 0.045 42.029 40.194
93.815 2.500 0.000 5.996 0.064 42.000 40.328
94.824 2.500 0.000 5.887 0.063 41.984 40.318
95.833 2.500 0.000 5.781 0.063 41.969 40.307
96.842 2.500 0.000 5.676 0.063 41.953 40.297
97.851 2.500 0.000 5.573 0.062 41.937 40.286
98.860 2.500 0.000 5.473 0.062 41.921 40.276
99.869 2.500 0.000 5.374 0.062 41.905 40.265
100.878 2.500 0.000 5.277 0.061 41.889 40.255
101.887 2.500 0.000 5.182 0.061 41.874 40.244
102.895 2.500 0.000 5.088 0.060 41.858 40.233
103.904 2.500 0.000 4.997 0.060 41.842 40.223
104.913 2.500 0.000 4.906 0.060 41.826 40.212
105.922 2.500 0.000 4.818 0.059 41.810 40.201
106.931 2.500 0.000 4.430 0.067 41.737 40.215
107.940 2.500 0.000 4.343 0.066 41.720 40.203
108.949 2.500 0.000 4.258 0.066 41.703 40.191
109.958 2.500 0.000 4.174 0.065 41.686 40.179
110.967 2.500 0.000 4.092 0.065 41.669 40.167
111.975 2.500 0.000 4.012 0.064 41.651 40.155
112.984 2.500 0.000 3.933 0.064 41.634 40.143
113.993 2.500 0.000 3.856 0.063 41.617 40.131
115.002 2.500 0.000 3.780 0.063 41.600 40.119
116.011 2.500 0.000 3.706 0.062 41.582 40.107
