# ph	T_bb	err	R_bb	err	L_bb	err

59117.37	9.07e+03	1.17e+03	1.21e+15	2.06e+14	7.03e+42	4.35e+42
59117.38	9.07e+03	1.17e+03	1.10e+15	1.87e+14	5.80e+42	3.59e+42
59117.42	9.07e+03	1.17e+03	1.12e+15	1.92e+14	6.11e+42	3.78e+42
59117.44	9.07e+03	1.17e+03	1.15e+15	1.95e+14	6.34e+42	3.93e+42
59117.47	9.07e+03	1.17e+03	1.22e+15	2.09e+14	7.24e+42	4.48e+42
59117.47	9.07e+03	1.17e+03	1.17e+15	2.00e+14	6.63e+42	4.10e+42
59118.26	9.07e+03	1.17e+03	1.09e+15	1.86e+14	5.73e+42	3.55e+42
59118.35	9.07e+03	1.17e+03	1.10e+15	1.88e+14	5.84e+42	3.62e+42
59118.36	9.07e+03	1.17e+03	1.17e+15	2.00e+14	6.66e+42	4.12e+42
59118.37	9.07e+03	1.17e+03	1.13e+15	1.93e+14	6.21e+42	3.84e+42
59118.37	9.07e+03	1.17e+03	1.10e+15	1.87e+14	5.83e+42	3.61e+42
59119.34	9.07e+03	1.17e+03	1.07e+15	1.83e+14	5.57e+42	3.45e+42
59119.36	9.07e+03	1.17e+03	1.11e+15	1.89e+14	5.96e+42	3.69e+42
59119.37	9.07e+03	1.17e+03	1.22e+15	2.08e+14	7.20e+42	4.46e+42
59119.38	9.07e+03	1.17e+03	1.24e+15	2.11e+14	7.38e+42	4.57e+42
59119.38	9.07e+03	1.17e+03	1.19e+15	2.02e+14	6.79e+42	4.20e+42
59119.41	9.07e+03	1.17e+03	1.09e+15	1.87e+14	5.79e+42	3.58e+42
59120.28	9.07e+03	1.17e+03	1.11e+15	1.90e+14	5.97e+42	3.70e+42
59120.37	9.07e+03	1.17e+03	1.17e+15	1.99e+14	6.58e+42	4.07e+42
59120.38	9.07e+03	1.17e+03	9.59e+14	1.64e+14	4.45e+42	2.75e+42
59121.31	9.07e+03	1.17e+03	1.09e+15	1.85e+14	5.70e+42	3.53e+42
59121.43	9.07e+03	1.17e+03	1.02e+15	1.74e+14	5.05e+42	3.13e+42
59121.43	9.07e+03	1.17e+03	1.05e+15	1.79e+14	5.34e+42	3.30e+42
59121.47	9.07e+03	1.17e+03	1.25e+15	2.13e+14	7.54e+42	4.67e+42
59121.47	9.07e+03	1.17e+03	1.04e+15	1.77e+14	5.23e+42	3.24e+42
59126.36	9.07e+03	1.17e+03	1.08e+15	1.84e+14	5.65e+42	3.50e+42
59127.36	9.07e+03	1.17e+03	1.13e+15	1.93e+14	6.17e+42	3.82e+42
59127.36	9.07e+03	1.17e+03	1.09e+15	1.86e+14	5.74e+42	3.55e+42
59127.44	9.07e+03	1.17e+03	1.46e+15	2.50e+14	1.04e+43	6.41e+42
59127.45	9.07e+03	1.17e+03	1.28e+15	2.19e+14	7.94e+42	4.92e+42
59127.46	9.07e+03	1.17e+03	1.36e+15	2.32e+14	8.97e+42	5.55e+42
59129.27	9.07e+03	1.17e+03	1.08e+15	1.84e+14	5.60e+42	3.47e+42
59129.33	9.07e+03	1.17e+03	8.74e+14	1.49e+14	3.69e+42	2.28e+42
59129.46	9.07e+03	1.17e+03	1.16e+15	1.97e+14	6.48e+42	4.01e+42
59129.47	9.07e+03	1.17e+03	1.18e+15	2.01e+14	6.74e+42	4.17e+42
59129.47	9.07e+03	1.17e+03	1.15e+15	1.96e+14	6.41e+42	3.97e+42
59129.49	9.07e+03	1.17e+03	1.14e+15	1.94e+14	6.29e+42	3.89e+42
59130.48	9.07e+03	1.17e+03	9.82e+14	1.68e+14	4.66e+42	2.89e+42
59130.48	9.07e+03	1.17e+03	1.09e+15	1.85e+14	5.70e+42	3.53e+42
59131.24	9.07e+03	1.17e+03	1.05e+15	1.80e+14	5.36e+42	3.32e+42
59131.32	9.07e+03	1.17e+03	9.41e+14	1.60e+14	4.28e+42	2.65e+42
59131.46	9.07e+03	1.17e+03	1.12e+15	1.90e+14	6.02e+42	3.73e+42
59131.46	9.07e+03	1.17e+03	1.02e+15	1.75e+14	5.07e+42	3.14e+42
59131.49	9.07e+03	1.17e+03	9.31e+14	1.59e+14	4.18e+42	2.59e+42
59131.50	9.07e+03	1.17e+03	1.09e+15	1.85e+14	5.70e+42	3.53e+42
59132.45	9.07e+03	1.17e+03	8.34e+14	1.42e+14	3.36e+42	2.08e+42
59133.40	9.07e+03	1.17e+03	1.21e+15	2.06e+14	7.07e+42	4.37e+42
