# ph	Lobs	err	L+BB	err	

59127.45	3.03e+42	3.02e+42	7.91e+42	4.07e+42
59127.46	3.42e+42	3.41e+42	8.93e+42	4.60e+42
59129.27	2.14e+42	2.13e+42	5.58e+42	2.87e+42
59129.33	1.41e+42	1.40e+42	3.67e+42	1.89e+42
59129.46	2.47e+42	2.46e+42	6.45e+42	3.32e+42
59129.47	2.57e+42	2.56e+42	6.71e+42	3.45e+42
59129.47	2.45e+42	2.44e+42	6.39e+42	3.29e+42
59129.49	2.40e+42	2.39e+42	6.26e+42	3.22e+42
59130.48	1.78e+42	1.77e+42	4.64e+42	2.39e+42
59130.48	2.18e+42	2.16e+42	5.68e+42	2.92e+42
59131.24	2.05e+42	2.04e+42	5.34e+42	2.75e+42
59131.32	1.63e+42	1.63e+42	4.26e+42	2.19e+42
59131.46	2.30e+42	2.29e+42	5.99e+42	3.09e+42
59131.46	1.93e+42	1.92e+42	5.05e+42	2.60e+42
59131.49	1.60e+42	1.59e+42	4.17e+42	2.14e+42
59131.50	2.17e+42	2.16e+42	5.67e+42	2.92e+42
59132.45	1.28e+42	1.28e+42	3.35e+42	1.72e+42
59133.40	2.70e+42	2.68e+42	7.04e+42	3.62e+42
59133.41	1.96e+42	1.95e+42	5.12e+42	2.64e+42
59133.41	2.46e+42	2.45e+42	6.43e+42	3.31e+42
59133.43	1.55e+42	1.54e+42	4.04e+42	2.08e+42
59134.27	1.27e+42	1.26e+42	3.30e+42	1.70e+42
59134.30	1.88e+42	1.87e+42	4.91e+42	2.53e+42
59135.43	1.44e+42	1.44e+42	3.76e+42	1.94e+42
59135.43	1.26e+42	1.25e+42	3.29e+42	1.69e+42
59135.43	8.31e+41	8.27e+41	2.17e+42	1.12e+42
59135.45	2.19e+42	2.17e+42	5.70e+42	2.94e+42
59136.30	1.90e+42	1.89e+42	4.95e+42	2.55e+42
59136.34	1.06e+42	1.05e+42	2.76e+42	1.42e+42
59137.42	1.69e+42	1.68e+42	4.42e+42	2.27e+42
59137.43	1.96e+42	1.95e+42	5.11e+42	2.63e+42
59137.43	1.90e+42	1.89e+42	4.96e+42	2.55e+42
59137.44	2.15e+42	2.14e+42	5.62e+42	2.89e+42
59137.45	1.70e+42	1.69e+42	4.42e+42	2.28e+42
59137.46	1.09e+42	1.08e+42	2.84e+42	1.46e+42
59138.23	9.92e+41	9.87e+41	2.59e+42	1.33e+42
59138.31	1.77e+42	1.76e+42	4.62e+42	2.38e+42
59139.41	1.25e+42	1.25e+42	3.27e+42	1.69e+42
59139.41	1.16e+42	1.16e+42	3.03e+42	1.56e+42
59139.42	1.23e+42	1.23e+42	3.22e+42	1.66e+42
59139.43	1.82e+42	1.81e+42	4.76e+42	2.45e+42
59140.25	1.79e+42	1.78e+42	4.68e+42	2.41e+42
59140.28	1.05e+42	1.04e+42	2.73e+42	1.41e+42
59141.38	1.82e+42	1.81e+42	4.75e+42	2.45e+42
59141.38	1.27e+42	1.26e+42	3.31e+42	1.70e+42
59141.41	2.12e+42	2.11e+42	5.54e+42	2.85e+42
59141.42	1.56e+42	1.55e+42	4.08e+42	2.10e+42
59142.27	9.65e+41	9.60e+41	2.52e+42	1.30e+42
59142.27	1.42e+42	1.41e+42	3.70e+42	1.91e+42
59143.26	1.58e+42	1.57e+42	4.11e+42	2.12e+42
59143.27	5.71e+41	5.68e+41	1.49e+42	7.67e+41
59143.29	1.38e+42	1.38e+42	3.61e+42	1.86e+42
59143.31	1.30e+42	1.29e+42	3.40e+42	1.75e+42
59143.40	7.13e+41	7.09e+41	1.86e+42	9.57e+41
59143.40	7.38e+41	7.34e+41	1.93e+42	9.91e+41
59143.41	3.36e+41	3.35e+41	8.78e+41	4.52e+41
59144.21	1.59e+42	1.58e+42	4.14e+42	2.13e+42
