##phase	g	err	w	err	r	err	i	err	z	err	y	err	
#
59115.51	18.85	1.20	18.85	1.20	18.85	1.20	18.85	1.20	18.85	1.20	18.85	1.20
59115.52	18.80	1.20	18.80	1.20	18.80	1.20	18.80	1.20	18.80	1.20	18.80	1.20
59116.26	19.12	1.20	19.12	1.20	19.12	1.20	19.12	1.20	19.12	1.20	19.12	1.20
59116.31	19.14	1.20	19.14	1.20	19.14	1.20	19.14	1.20	19.14	1.20	19.14	1.20
59116.34	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20
59116.36	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20
59117.29	19.10	1.20	19.10	1.20	19.10	1.20	19.10	1.20	19.10	1.20	19.10	1.20
59117.37	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20
59117.37	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20	19.01	1.20
59117.38	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20
59117.42	19.16	1.20	19.16	1.20	19.16	1.20	19.16	1.20	19.16	1.20	19.16	1.20
59117.44	19.12	1.20	19.12	1.20	19.12	1.20	19.12	1.20	19.12	1.20	19.12	1.20
59117.47	18.97	1.20	18.97	1.20	18.97	1.20	18.97	1.20	18.97	1.20	18.97	1.20
59117.47	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20
59118.26	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20
59118.35	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20
59118.36	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20	19.07	1.20
59118.37	19.14	1.20	19.14	1.20	19.14	1.20	19.14	1.20	19.14	1.20	19.14	1.20
59118.37	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20	19.21	1.20
59119.34	19.26	1.20	19.26	1.20	19.26	1.20	19.26	1.20	19.26	1.20	19.26	1.20
59119.36	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20	19.19	1.20
59119.37	18.98	1.20	18.98	1.20	18.98	1.20	18.98	1.20	18.98	1.20	18.98	1.20
59119.38	18.95	1.20	18.95	1.20	18.95	1.20	18.95	1.20	18.95	1.20	18.95	1.20
59119.38	19.04	1.20	19.04	1.20	19.04	1.20	19.04	1.20	19.04	1.20	19.04	1.20
59119.41	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20	19.22	1.20
59120.28	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20
59120.37	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20	19.08	1.20
59120.38	19.50	1.20	19.50	1.20	19.50	1.20	19.50	1.20	19.50	1.20	19.50	1.20
59121.31	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20
59121.43	19.36	1.20	19.36	1.20	19.36	1.20	19.36	1.20	19.36	1.20	19.36	1.20
59121.43	19.31	1.20	19.31	1.20	19.31	1.20	19.31	1.20	19.31	1.20	19.31	1.20
59121.47	18.93	1.20	18.93	1.20	18.93	1.20	18.93	1.20	18.93	1.20	18.93	1.20
59121.47	19.33	1.20	19.33	1.20	19.33	1.20	19.33	1.20	19.33	1.20	19.33	1.20
59126.36	19.24	1.20	19.24	1.20	19.24	1.20	19.24	1.20	19.24	1.20	19.24	1.20
59127.36	19.15	1.20	19.15	1.20	19.15	1.20	19.15	1.20	19.15	1.20	19.15	1.20
59127.36	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20
59127.44	18.59	1.20	18.59	1.20	18.59	1.20	18.59	1.20	18.59	1.20	18.59	1.20
59127.45	18.87	1.20	18.87	1.20	18.87	1.20	18.87	1.20	18.87	1.20	18.87	1.20
59127.46	18.74	1.20	18.74	1.20	18.74	1.20	18.74	1.20	18.74	1.20	18.74	1.20
59129.27	19.25	1.20	19.25	1.20	19.25	1.20	19.25	1.20	19.25	1.20	19.25	1.20
